model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.9906000	0.9898310	0.9913690	0.9902000	0.9890416	0.9913584
GCN_AE	2	0.8598000	0.7497648	0.9698352	0.8839000	0.7671161	1.0006839
GCN_AE	3	0.0881000	-0.0859631	0.2621631	0.8477000	0.7426596	0.9527404
GCN_AE	4	0.0808000	-0.0767655	0.2383655	0.0693000	-0.0874675	0.2260675
GCN_AE	5	0.0811000	-0.0771434	0.2393434	0.0014000	-0.0017670	0.0045670
GCN_AE	6	0.0117000	0.0043114	0.0190886	0.0703000	-0.0887296	0.2293296
GCN_AE	7	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	8	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	9	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	10	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	11	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	12	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	13	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	14	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	15	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	16	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	17	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	18	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	19	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
GCN_AE	20	0.0117000	0.0043114	0.0190886	0.0000000	nan	nan
