model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.9634889	nan	nan	0.9634889	nan	nan
Kronecker	2	0.9896000	nan	nan	0.5559556	nan	nan
Kronecker	3	0.9932444	nan	nan	0.4907556	nan	nan
Kronecker	4	0.9929778	nan	nan	0.5066667	nan	nan
Kronecker	5	0.9924000	nan	nan	0.5090444	nan	nan
Kronecker	6	0.9896889	nan	nan	0.4747556	nan	nan
Kronecker	7	0.9869333	nan	nan	0.4640889	nan	nan
Kronecker	8	0.9847778	nan	nan	0.4479556	nan	nan
Kronecker	9	0.9846889	nan	nan	0.3548667	nan	nan
Kronecker	10	0.9867273	nan	nan	0.4331364	nan	nan
Kronecker	11	0.9870465	nan	nan	0.3368140	nan	nan
Kronecker	12	0.9875116	nan	nan	0.2684186	nan	nan
Kronecker	13	0.9873095	nan	nan	0.2771429	nan	nan
Kronecker	14	0.9870714	nan	nan	0.2744524	nan	nan
Kronecker	15	0.9875714	nan	nan	0.2732619	nan	nan
Kronecker	16	0.9872632	nan	nan	0.2712368	nan	nan
Kronecker	17	0.9870882	nan	nan	0.2751765	nan	nan
Kronecker	18	0.9874483	nan	nan	0.2657241	nan	nan
Kronecker	19	0.9875000	nan	nan	0.2730385	nan	nan
Kronecker	20	0.9871667	nan	nan	0.2760000	nan	nan
