model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	0.1758400	0.1737831	0.1778969	0.1758400	0.1737831	0.1778969
BTER	2	0.2034200	0.2016152	0.2052248	0.1754200	0.1728228	0.1780172
BTER	3	0.2349200	0.2329587	0.2368813	0.1686000	0.1650180	0.1721820
BTER	4	0.2602200	0.2573170	0.2631230	0.1566200	0.1528655	0.1603745
BTER	5	0.2744800	0.2726542	0.2763058	0.1395600	0.1356186	0.1435014
BTER	6	0.2921600	0.2903687	0.2939513	0.1447000	0.1401524	0.1492476
BTER	7	0.3085200	0.3065914	0.3104486	0.1567800	0.1524106	0.1611494
BTER	8	0.3204600	0.3191467	0.3217733	0.1518000	0.1474579	0.1561421
BTER	9	0.3275400	0.3262584	0.3288216	0.1327400	0.1281032	0.1373768
BTER	10	0.3372200	0.3355705	0.3388695	0.1307600	0.1259725	0.1355475
BTER	11	0.3510800	0.3490340	0.3531260	0.1377000	0.1336538	0.1417462
BTER	12	0.3625800	0.3608603	0.3642997	0.1289400	0.1237676	0.1341124
BTER	13	0.3698400	0.3680607	0.3716193	0.1106600	0.1067268	0.1145932
BTER	14	0.3775000	0.3759096	0.3790904	0.1110000	0.1073641	0.1146359
BTER	15	0.3848000	0.3833283	0.3862717	0.1204000	0.1165020	0.1242980
BTER	16	0.3921800	0.3905788	0.3937812	0.1128800	0.1088573	0.1169027
BTER	17	0.3993000	0.3973001	0.4012999	0.1013400	0.0969509	0.1057291
BTER	18	0.4064800	0.4047129	0.4082471	0.0947200	0.0907829	0.0986571
BTER	19	0.4134800	0.4118907	0.4150693	0.1011000	0.0973423	0.1048577
BTER	20	0.4203200	0.4186885	0.4219515	0.0989000	0.0950663	0.1027337
