model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.7089000	0.6922210	0.7255790	0.7088200	0.6921369	0.7255031
GCN_AE	2	0.6520000	0.6331566	0.6708434	0.5907600	0.5374197	0.6441003
GCN_AE	3	0.6822600	0.6519882	0.7125318	0.5681600	0.4957043	0.6406157
GCN_AE	4	0.6948400	0.6660334	0.7236466	0.3920600	0.3184003	0.4657197
GCN_AE	5	0.7335400	0.7043908	0.7626892	0.5203800	0.4222218	0.6185382
GCN_AE	6	0.7605000	0.7345482	0.7864518	0.4382000	0.3251071	0.5512929
GCN_AE	7	0.7919400	0.7743544	0.8095256	0.4681400	0.3474145	0.5888655
GCN_AE	8	0.8026800	0.7882418	0.8171182	0.3082400	0.1930128	0.4234672
GCN_AE	9	0.8014200	0.7870631	0.8157769	0.1594800	0.0710843	0.2478757
GCN_AE	10	0.8028000	0.7883382	0.8172618	0.0687600	0.0016029	0.1359171
GCN_AE	11	0.8026600	0.7890344	0.8162856	0.0345000	-0.0140293	0.0830293
GCN_AE	12	0.8041000	0.7903025	0.8178975	0.0305200	-0.0125463	0.0735863
GCN_AE	13	0.8057400	0.7918578	0.8196222	0.0278600	-0.0113264	0.0670464
GCN_AE	14	0.8055800	0.7915837	0.8195763	0.0122800	-0.0123976	0.0369576
GCN_AE	15	0.8059600	0.7922240	0.8196960	0.0144400	-0.0145783	0.0434583
GCN_AE	16	0.8071400	0.7939608	0.8203192	0.0175800	-0.0177483	0.0529083
GCN_AE	17	0.8070400	0.7938292	0.8202508	0.0088200	-0.0089045	0.0265445
GCN_AE	18	0.8070400	0.7938292	0.8202508	0.0000000	nan	nan
GCN_AE	19	0.8070400	0.7938292	0.8202508	0.0000000	nan	nan
GCN_AE	20	0.8070400	0.7938292	0.8202508	0.0000000	nan	nan
