model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.9296000	0.9263444	0.9328556	0.9285000	0.9249592	0.9320408
GCN_AE	2	0.8555000	0.8191953	0.8918047	0.6765000	0.5228604	0.8301396
GCN_AE	3	0.7426000	0.6350693	0.8501307	0.6931000	0.5085711	0.8776289
GCN_AE	4	0.7205000	0.6099613	0.8310387	0.3151000	0.0581012	0.5720988
GCN_AE	5	0.6837000	0.5884348	0.7789652	0.3098000	0.0176202	0.6019798
GCN_AE	6	0.6796000	0.5892104	0.7699896	0.2440000	-0.0373683	0.5253683
GCN_AE	7	0.6624000	0.5890588	0.7357412	0.2679000	-0.0407167	0.5765167
GCN_AE	8	0.6311000	0.5676059	0.6945941	0.2467000	-0.0404758	0.5338758
GCN_AE	9	0.5983000	0.5477278	0.6488722	0.1769000	-0.0899072	0.4437072
GCN_AE	10	0.5712000	0.5355503	0.6068497	0.0788000	-0.0994580	0.2570580
GCN_AE	11	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	12	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	13	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	14	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	15	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	16	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	17	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	18	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	19	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
GCN_AE	20	0.5712000	0.5355503	0.6068497	0.0000000	nan	nan
