model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GraphRNN	1	0.7987200	0.7948744	0.8025656	0.7987200	0.7948744	0.8025656
GraphRNN	2	0.7987200	0.7934502	0.8039898	0.3768000	0.3435648	0.4100352
GraphRNN	3	0.7936400	0.7891812	0.7980988	0.3884800	0.3465512	0.4304088
GraphRNN	4	0.7955400	0.7928176	0.7982624	0.2371000	0.2051568	0.2690432
GraphRNN	5	0.8070600	0.8045524	0.8095676	0.1314600	0.1174482	0.1454718
GraphRNN	6	0.8020800	0.7992024	0.8049576	0.1196800	0.1041906	0.1351694
GraphRNN	7	0.7882800	0.7850143	0.7915457	0.2364400	0.2147801	0.2580999
GraphRNN	8	0.7820400	0.7784379	0.7856421	0.1291600	0.1128714	0.1454486
GraphRNN	9	0.7785000	0.7747944	0.7822056	0.1271000	0.1128408	0.1413592
GraphRNN	10	0.7983600	0.7957028	0.8010172	0.3409400	0.3216316	0.3602484
GraphRNN	11	0.7937000	0.7913535	0.7960465	0.1248000	0.1110613	0.1385387
GraphRNN	12	0.7947600	0.7919422	0.7975778	0.1144000	0.1034154	0.1253846
GraphRNN	13	0.7814000	0.7771992	0.7856008	0.2963200	0.2743041	0.3183359
GraphRNN	14	0.7776200	0.7741379	0.7811021	0.1052600	0.0906952	0.1198248
GraphRNN	15	0.7668800	0.7625055	0.7712545	0.1177400	0.1025214	0.1329586
GraphRNN	16	0.7653600	0.7610742	0.7696458	0.1205600	0.1048438	0.1362762
