model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Linear_AE	1	0.9279000	0.9258919	0.9299081	0.9263000	0.9240575	0.9285425
Linear_AE	2	0.8881000	0.8653052	0.9108948	0.6151000	0.5387133	0.6914867
Linear_AE	3	0.8209000	0.7594961	0.8823039	0.7458000	0.6557611	0.8358389
Linear_AE	4	0.7363000	0.6653374	0.8072626	0.6102500	0.4241149	0.7963851
Linear_AE	5	0.6723500	0.6147066	0.7299934	0.3866000	0.1773892	0.5958108
Linear_AE	6	0.6478000	0.6028499	0.6927501	0.2204500	0.0359030	0.4049970
Linear_AE	7	0.6335000	0.5976763	0.6693237	0.1716500	0.0062855	0.3370145
Linear_AE	8	0.6178500	0.5885574	0.6471426	0.1233500	-0.0188784	0.2655784
Linear_AE	9	0.6014500	0.5786241	0.6242759	0.0884500	-0.0389738	0.2158738
Linear_AE	10	0.5879000	0.5699510	0.6058490	0.0394000	-0.0430651	0.1218651
Linear_AE	11	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	12	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	13	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	14	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	15	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	16	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	17	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	18	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	19	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
Linear_AE	20	0.5879000	0.5699510	0.6058490	0.0000000	nan	nan
