model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	0.9756154	0.9663500	0.9848808	0.9730769	0.9633565	0.9827973
GCN_AE	2	0.9551538	0.9316137	0.9786940	0.7156154	0.6203301	0.8109007
GCN_AE	3	0.7700000	0.6673145	0.8726855	0.9029231	0.8561287	0.9497175
GCN_AE	4	0.6013077	0.5037975	0.6988178	0.6270000	0.4060717	0.8479283
GCN_AE	5	0.5686923	0.4942638	0.6431209	0.2323846	0.0368603	0.4279089
GCN_AE	6	0.5690000	0.4942839	0.6437161	0.0007692	-0.0003654	0.0019039
GCN_AE	7	0.5700769	0.4943416	0.6458122	0.0041538	-0.0019733	0.0102810
GCN_AE	8	0.5700769	0.4943416	0.6458122	0.0000000	nan	nan
GCN_AE	9	0.5279231	0.4687519	0.5870943	0.1083077	-0.0514530	0.2680684
GCN_AE	10	0.5279231	0.4687519	0.5870943	0.0000000	nan	nan
GCN_AE	11	0.5279231	0.4687519	0.5870943	0.0000000	nan	nan
GCN_AE	12	0.5279231	0.4687519	0.5870943	0.0000000	nan	nan
GCN_AE	13	0.5279231	0.4687519	0.5870943	0.0000000	nan	nan
GCN_AE	14	0.5279231	0.4687519	0.5870943	0.0000000	nan	nan
GCN_AE	15	0.5279231	0.4687519	0.5870943	0.0000000	nan	nan
GCN_AE	16	0.5355385	0.4627691	0.6083079	0.0755385	-0.0890457	0.2401226
GCN_AE	17	0.5263077	0.4698149	0.5828005	0.0465385	-0.0548601	0.1479371
GCN_AE	18	0.5204615	0.4727398	0.5681833	0.0456923	-0.0538627	0.1452473
GCN_AE	19	0.5204615	0.4727398	0.5681833	0.0000000	nan	nan
GCN_AE	20	0.5204615	0.4727398	0.5681833	0.0000000	nan	nan
