model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	0.9999967	0.9999965	0.9999969
Linear_AE	2	0.9999967	0.9999965	0.9999969
Linear_AE	3	0.9999968	0.9999966	0.9999969
Linear_AE	4	0.9999969	0.9999968	0.9999970
Linear_AE	5	0.9999970	0.9999969	0.9999971
Linear_AE	6	0.9999970	0.9999969	0.9999971
Linear_AE	7	0.9999971	0.9999970	0.9999972
Linear_AE	8	0.9999973	0.9999972	0.9999974
Linear_AE	9	0.9999973	0.9999971	0.9999975
Linear_AE	10	0.9999974	0.9999972	0.9999976
Linear_AE	11	0.9999975	0.9999972	0.9999978
Linear_AE	12	0.9999975	0.9999972	0.9999979
Linear_AE	13	0.9999976	0.9999972	0.9999979
Linear_AE	14	0.9999976	0.9999972	0.9999979
Linear_AE	15	0.9999976	0.9999972	0.9999979
Linear_AE	16	0.9999976	0.9999972	0.9999979
Linear_AE	17	0.9999976	0.9999972	0.9999979
Linear_AE	18	0.9999976	0.9999973	0.9999979
Linear_AE	19	0.9999976	0.9999973	0.9999979
Linear_AE	20	0.9999976	0.9999973	0.9999979
