model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	0.9999766	0.9999764	0.9999768
Linear_AE	2	0.9999828	0.9999825	0.9999830
Linear_AE	3	0.9999844	0.9999842	0.9999846
Linear_AE	4	0.9999844	0.9999843	0.9999846
Linear_AE	5	0.9999844	0.9999842	0.9999845
Linear_AE	6	0.9999839	0.9999837	0.9999841
Linear_AE	7	0.9999840	0.9999835	0.9999845
Linear_AE	8	0.9999849	0.9999842	0.9999856
Linear_AE	9	0.9999853	0.9999846	0.9999860
Linear_AE	10	0.9999855	0.9999848	0.9999862
Linear_AE	11	0.9999856	0.9999850	0.9999863
Linear_AE	12	0.9999857	0.9999850	0.9999863
Linear_AE	13	0.9999857	0.9999850	0.9999864
Linear_AE	14	0.9999857	0.9999850	0.9999863
Linear_AE	15	0.9999856	0.9999850	0.9999863
Linear_AE	16	0.9999857	0.9999850	0.9999863
Linear_AE	17	0.9999855	0.9999848	0.9999862
Linear_AE	18	0.9999858	0.9999851	0.9999866
Linear_AE	19	0.9999858	0.9999851	0.9999866
Linear_AE	20	0.9999858	0.9999851	0.9999866
