model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	0.9999959	0.9999957	0.9999960
Linear_AE	2	0.9999962	0.9999961	0.9999964
Linear_AE	3	0.9999968	0.9999964	0.9999972
Linear_AE	4	0.9999983	0.9999972	0.9999994
Linear_AE	5	0.9999988	0.9999977	1.0000000
Linear_AE	6	0.9999993	0.9999986	1.0000000
Linear_AE	7	0.9999996	0.9999996	0.9999996
Linear_AE	8	0.9999996	0.9999996	0.9999996
Linear_AE	9	0.9999996	0.9999996	0.9999996
Linear_AE	10	0.9999996	0.9999996	0.9999996
Linear_AE	11	0.9999996	0.9999996	0.9999996
Linear_AE	12	0.9999996	0.9999996	0.9999996
Linear_AE	13	0.9999996	0.9999996	0.9999996
Linear_AE	14	0.9999996	0.9999996	0.9999996
Linear_AE	15	0.9999996	0.9999996	0.9999996
Linear_AE	16	0.9999996	0.9999996	0.9999996
Linear_AE	17	0.9999996	0.9999996	0.9999996
Linear_AE	18	0.9999996	0.9999996	0.9999996
Linear_AE	19	0.9999996	0.9999996	0.9999996
Linear_AE	20	0.9999996	0.9999996	0.9999996
