model	gen	abs_mean	abs95d	abs95u
SBM	1	0.9999218	0.9999210	0.9999226
SBM	2	0.9999214	0.9999205	0.9999222
SBM	3	0.9999217	0.9999206	0.9999228
SBM	4	0.9999224	0.9999214	0.9999234
SBM	5	0.9999222	0.9999212	0.9999233
SBM	6	0.9999226	0.9999214	0.9999239
SBM	7	0.9999225	0.9999213	0.9999237
SBM	8	0.9999239	0.9999226	0.9999252
SBM	9	0.9999231	0.9999220	0.9999242
SBM	10	0.9999229	0.9999215	0.9999243
SBM	11	0.9999235	0.9999223	0.9999247
SBM	12	0.9999227	0.9999214	0.9999241
SBM	13	0.9999230	0.9999214	0.9999246
SBM	14	0.9999231	0.9999218	0.9999244
SBM	15	0.9999234	0.9999220	0.9999249
SBM	16	0.9999239	0.9999225	0.9999253
SBM	17	0.9999239	0.9999226	0.9999252
SBM	18	0.9999229	0.9999215	0.9999244
SBM	19	0.9999235	0.9999220	0.9999250
SBM	20	0.9999234	0.9999219	0.9999248
