model	gen	abs_mean	abs95d	abs95u
BTER	1	12036.7903200	11919.0860804	12154.4945596
BTER	2	12211.1222600	12013.2295078	12409.0150122
BTER	3	12361.0464600	12122.4124107	12599.6805093
BTER	4	12552.8800000	12273.8547654	12831.9052346
BTER	5	12624.0816800	12298.8180822	12949.3452778
BTER	6	12709.9465800	12370.3988548	13049.4943052
BTER	7	12799.1190400	12471.9069344	13126.3311456
BTER	8	12925.2117200	12579.3013026	13271.1221374
BTER	9	12876.5471000	12520.9481915	13232.1460085
BTER	10	12909.6508000	12531.5610221	13287.7405779
BTER	11	13016.3683400	12626.6161286	13406.1205514
BTER	12	12969.8697000	12595.3879790	13344.3514210
BTER	13	13014.5231400	12604.2463762	13424.7999038
BTER	14	12952.8214600	12508.1160132	13397.5269068
BTER	15	12868.6430600	12416.6725018	13320.6136182
BTER	16	12835.9067400	12390.0778171	13281.7356629
BTER	17	12619.6867400	12179.8216370	13059.5518430
BTER	18	12585.1082400	12141.0800928	13029.1363872
BTER	19	12548.1654400	12096.2503838	13000.0804962
BTER	20	12358.3379800	11913.4443744	12803.2315856
