model	gen	abs_mean	abs95d	abs95u
Kronecker	1	36046.8182444	35050.6112656	37043.0252233
Kronecker	2	44249.2105556	42932.3030665	45566.1180446
Kronecker	3	51847.3896222	50683.5792413	53011.2000031
Kronecker	4	58319.5048000	57003.5064633	59635.5031367
Kronecker	5	63873.3288889	62771.0647738	64975.5930040
Kronecker	6	70807.0504222	69678.8929194	71935.2079250
Kronecker	7	81999.5932444	81161.0904352	82838.0960536
Kronecker	8	101512.6766000	100361.8559780	102663.4972220
Kronecker	9	155700.4608889	152486.5665692	158914.3552086
Kronecker	10	222458.7736136	220654.1071885	224263.4400387
Kronecker	11	237982.0417442	236565.4875768	239398.5959116
Kronecker	12	242671.6182093	241539.6410139	243803.5954047
Kronecker	13	239016.4631429	237138.8368229	240894.0894628
Kronecker	14	237427.3455238	235926.4603288	238928.2307188
Kronecker	15	241697.0933571	240358.2354099	243035.9513044
Kronecker	16	240036.2554737	238050.7464279	242021.7645195
Kronecker	17	238833.6927647	237846.9192600	239820.4662694
Kronecker	18	242435.5875172	240947.9026262	243923.2724083
Kronecker	19	239605.1299231	236893.9301929	242316.3296532
Kronecker	20	239088.7883889	236629.4150550	241548.1617228
