model	gen	abs_mean	abs95d	abs95u
Kronecker	1	7185.7393200	7143.2801692	7228.1984708
Kronecker	2	9833.8375200	9753.8216658	9913.8533742
Kronecker	3	14836.7154800	14739.6253813	14933.8055787
Kronecker	4	23628.0570800	23448.9383000	23807.1758600
Kronecker	5	40951.3373600	40427.8415351	41474.8331849
Kronecker	6	76562.9134600	76060.2043233	77065.6225967
Kronecker	7	84828.1729600	84146.9619913	85509.3839287
Kronecker	8	86228.8708400	85670.2873460	86787.4543340
Kronecker	9	86875.1013800	86305.9094635	87444.2932965
Kronecker	10	87101.3329200	86443.2150427	87759.4507973
Kronecker	11	87032.5581429	86492.4273133	87572.6889724
Kronecker	12	87391.4275833	86865.3037599	87917.5514067
Kronecker	13	87008.6475106	86337.3017120	87679.9933093
Kronecker	14	87075.2788696	86603.6805379	87546.8772012
Kronecker	15	87253.2070889	86636.0766838	87870.3374940
Kronecker	16	87372.3371364	86739.7864672	88004.8878055
Kronecker	17	87165.6178140	86391.2791945	87939.9564334
Kronecker	18	87422.0564186	86823.9851675	88020.1276697
Kronecker	19	86663.8742558	86018.4150734	87309.3334382
Kronecker	20	86882.0548837	86240.4959329	87523.6138346
