model	gen	abs_mean	abs95d	abs95u
BUGGE	1	10526.6231000	10459.3092731	10593.9369269
BUGGE	2	10405.3514600	10327.3204553	10483.3824647
BUGGE	3	10317.8527400	10232.1731237	10403.5323563
BUGGE	4	10181.9106400	10096.2572730	10267.5640070
BUGGE	5	10260.0811600	10175.9679689	10344.1943511
BUGGE	6	10248.8318600	10173.4584451	10324.2052749
BUGGE	7	10270.5636200	10178.4732657	10362.6539743
BUGGE	8	10212.2644800	10138.1210733	10286.4078867
BUGGE	9	10251.1345600	10170.9262945	10331.3428255
BUGGE	10	10255.5105600	10178.0972250	10332.9238950
BUGGE	11	10239.5309600	10168.2765270	10310.7853930
BUGGE	12	10235.7945800	10146.5007793	10325.0883807
BUGGE	13	10280.1147000	10195.8486285	10364.3807715
BUGGE	14	10242.3316000	10167.6266063	10317.0365937
BUGGE	15	10236.1039400	10164.3995498	10307.8083302
BUGGE	16	10248.8859200	10161.5637063	10336.2081337
BUGGE	17	10219.2891600	10131.3310439	10307.2472761
BUGGE	18	10184.1921600	10106.3920413	10261.9922787
BUGGE	19	10234.1004800	10166.0130391	10302.1879209
BUGGE	20	10193.7168600	10105.0358778	10282.3978422
