model	gen	abs_mean	abs95d	abs95u
CNRG	1	14136.4305400	14111.3552172	14161.5058628
CNRG	2	14175.6362000	14136.3579021	14214.9144979
CNRG	3	14156.9538000	14120.5900010	14193.3175990
CNRG	4	14145.9419400	14104.2483517	14187.6355283
CNRG	5	14153.1367400	14106.6661544	14199.6073256
CNRG	6	14148.6916800	14104.8968796	14192.4864804
CNRG	7	14144.5715400	14098.5675604	14190.5755196
CNRG	8	14134.5616400	14083.6864884	14185.4367916
CNRG	9	14125.5651600	14068.9593991	14182.1709209
CNRG	10	14109.5042000	14044.4956982	14174.5127018
CNRG	11	14116.9490200	14048.2498638	14185.6481762
CNRG	12	14116.3342400	14047.6122584	14185.0562216
CNRG	13	14115.9380600	14049.4830259	14182.3930941
CNRG	14	14103.5442400	14035.2638554	14171.8246246
CNRG	15	14102.2040600	14034.7161085	14169.6920115
CNRG	16	14099.8077200	14034.7419861	14164.8734539
CNRG	17	14089.2756000	14019.3199332	14159.2312668
CNRG	18	14079.7420000	14009.1344061	14150.3495939
CNRG	19	14073.2256000	13999.3284676	14147.1227324
CNRG	20	14071.7257200	13999.3045088	14144.1469312
