model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	18353.3138600	18306.5307544	18400.0969656
Chung-Lu	2	18296.8042800	18249.4823382	18344.1262218
Chung-Lu	3	18278.3354000	18225.0681581	18331.6026419
Chung-Lu	4	18194.1461800	18142.2167917	18246.0755683
Chung-Lu	5	18162.9299200	18118.4813384	18207.3785016
Chung-Lu	6	18162.2445200	18112.7724151	18211.7166249
Chung-Lu	7	18103.5573000	18055.1579150	18151.9566850
Chung-Lu	8	18033.8746800	17987.1774400	18080.5719200
Chung-Lu	9	18054.9574200	18002.1206071	18107.7942329
Chung-Lu	10	17983.7491800	17929.7225878	18037.7757722
Chung-Lu	11	17953.6904200	17908.7577704	17998.6230696
Chung-Lu	12	17920.2156000	17873.8548466	17966.5763534
Chung-Lu	13	17885.2956800	17836.2716358	17934.3197242
Chung-Lu	14	17825.3769800	17779.4968033	17871.2571567
Chung-Lu	15	17775.6790000	17734.9177147	17816.4402853
Chung-Lu	16	17714.8857000	17665.1119961	17764.6594039
Chung-Lu	17	17675.5276800	17621.3183015	17729.7370585
Chung-Lu	18	17652.1351400	17610.8004519	17693.4698281
Chung-Lu	19	17639.5754000	17591.2894408	17687.8613592
Chung-Lu	20	17631.8123600	17576.2378515	17687.3868685
