model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
CNRG	1	-0.0001345	-0.0001404	-0.0001287	-0.0001345	-0.0001404	-0.0001287
CNRG	2	-0.0002268	-0.0002357	-0.0002179	-0.0000923	-0.0000982	-0.0000863
CNRG	3	-0.0002958	-0.0003058	-0.0002858	-0.0000690	-0.0000745	-0.0000635
CNRG	4	-0.0003471	-0.0003560	-0.0003382	-0.0000513	-0.0000570	-0.0000456
CNRG	5	-0.0003832	-0.0003928	-0.0003736	-0.0000361	-0.0000418	-0.0000304
CNRG	6	-0.0004111	-0.0004214	-0.0004008	-0.0000279	-0.0000327	-0.0000232
CNRG	7	-0.0004340	-0.0004462	-0.0004218	-0.0000229	-0.0000284	-0.0000174
CNRG	8	-0.0004498	-0.0004639	-0.0004357	-0.0000158	-0.0000210	-0.0000107
CNRG	9	-0.0004585	-0.0004746	-0.0004424	-0.0000087	-0.0000136	-0.0000038
CNRG	10	-0.0004731	-0.0004889	-0.0004573	-0.0000145	-0.0000195	-0.0000095
CNRG	11	-0.0004792	-0.0004956	-0.0004628	-0.0000062	-0.0000112	-0.0000011
CNRG	12	-0.0004810	-0.0004979	-0.0004640	-0.0000017	-0.0000066	0.0000032
CNRG	13	-0.0004830	-0.0004990	-0.0004670	-0.0000020	-0.0000077	0.0000036
CNRG	14	-0.0004852	-0.0005014	-0.0004690	-0.0000022	-0.0000071	0.0000026
CNRG	15	-0.0004840	-0.0005008	-0.0004672	0.0000012	-0.0000035	0.0000060
CNRG	16	-0.0004913	-0.0005086	-0.0004740	-0.0000073	-0.0000119	-0.0000027
CNRG	17	-0.0004909	-0.0005083	-0.0004736	0.0000003	-0.0000035	0.0000042
CNRG	18	-0.0004956	-0.0005137	-0.0004775	-0.0000047	-0.0000095	0.0000001
CNRG	19	-0.0004985	-0.0005178	-0.0004792	-0.0000029	-0.0000070	0.0000013
CNRG	20	-0.0005048	-0.0005247	-0.0004850	-0.0000063	-0.0000105	-0.0000022
