model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BUGGE	1	2.0899600	2.0279717	2.1519483	2.0899600	2.0279717	2.1519483
BUGGE	2	3.2795800	3.1160611	3.4430989	1.1896200	1.0214507	1.3577893
BUGGE	3	3.0305500	2.9030641	3.1580359	-0.2490300	-0.4251969	-0.0728631
BUGGE	4	2.9078000	2.7569302	3.0586698	-0.1227500	-0.3080101	0.0625101
BUGGE	5	2.8058800	2.6920839	2.9196761	-0.1019200	-0.2882734	0.0844334
BUGGE	6	2.7515700	2.6308559	2.8722841	-0.0543100	-0.2150836	0.1064636
BUGGE	7	2.7484100	2.6137675	2.8830525	-0.0031600	-0.1712014	0.1648814
BUGGE	8	2.9148100	2.7974840	3.0321360	0.1664000	0.0068391	0.3259609
BUGGE	9	2.7813000	2.6244206	2.9381794	-0.1335100	-0.3043427	0.0373227
BUGGE	10	2.7129000	2.6084726	2.8173274	-0.0684000	-0.2472910	0.1104910
BUGGE	11	2.7566700	2.6442769	2.8690631	0.0437700	-0.1114559	0.1989959
BUGGE	12	2.8215100	2.6954278	2.9475922	0.0648400	-0.0876012	0.2172812
BUGGE	13	2.8429200	2.6923247	2.9935153	0.0214100	-0.1645447	0.2073647
BUGGE	14	2.8961100	2.7443072	3.0479128	0.0531900	-0.1583861	0.2647661
BUGGE	15	2.9480100	2.8010386	3.0949814	0.0519000	-0.1438466	0.2476466
BUGGE	16	2.9211600	2.7970136	3.0453064	-0.0268500	-0.2159219	0.1622219
BUGGE	17	2.8067500	2.6833111	2.9301889	-0.1144100	-0.2849745	0.0561545
BUGGE	18	2.7307700	2.6285620	2.8329780	-0.0759800	-0.2320093	0.0800493
BUGGE	19	2.9894800	2.8376506	3.1413094	0.2587100	0.0956384	0.4217816
BUGGE	20	2.7834200	2.6580658	2.9087742	-0.2060600	-0.3451764	-0.0669436
