model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	-0.0014800	-0.0016849	-0.0012751	-0.0014800	-0.0016849	-0.0012751
Chung-Lu	2	-0.0029000	-0.0032273	-0.0025727	-0.0014200	-0.0016503	-0.0011897
Chung-Lu	3	-0.0043500	-0.0047501	-0.0039499	-0.0014500	-0.0016747	-0.0012253
Chung-Lu	4	-0.0058700	-0.0063354	-0.0054046	-0.0015200	-0.0017767	-0.0012633
Chung-Lu	5	-0.0072900	-0.0078028	-0.0067772	-0.0014200	-0.0016430	-0.0011970
Chung-Lu	6	-0.0088600	-0.0094434	-0.0082766	-0.0015700	-0.0018068	-0.0013332
Chung-Lu	7	-0.0105100	-0.0111063	-0.0099137	-0.0016500	-0.0018957	-0.0014043
Chung-Lu	8	-0.0118700	-0.0125314	-0.0112086	-0.0013600	-0.0016020	-0.0011180
Chung-Lu	9	-0.0132700	-0.0140003	-0.0125397	-0.0014000	-0.0016436	-0.0011564
Chung-Lu	10	-0.0147200	-0.0154447	-0.0139953	-0.0014500	-0.0016889	-0.0012111
Chung-Lu	11	-0.0162800	-0.0170531	-0.0155069	-0.0015600	-0.0018178	-0.0013022
Chung-Lu	12	-0.0179500	-0.0188080	-0.0170920	-0.0016700	-0.0019146	-0.0014254
Chung-Lu	13	-0.0195100	-0.0203843	-0.0186357	-0.0015600	-0.0017780	-0.0013420
Chung-Lu	14	-0.0206600	-0.0215157	-0.0198043	-0.0011500	-0.0013595	-0.0009405
Chung-Lu	15	-0.0223500	-0.0232918	-0.0214082	-0.0016900	-0.0020056	-0.0013744
Chung-Lu	16	-0.0236300	-0.0245685	-0.0226915	-0.0012800	-0.0014771	-0.0010829
Chung-Lu	17	-0.0250600	-0.0260163	-0.0241037	-0.0014300	-0.0016702	-0.0011898
Chung-Lu	18	-0.0264700	-0.0274766	-0.0254634	-0.0014100	-0.0016281	-0.0011919
Chung-Lu	19	-0.0278900	-0.0289312	-0.0268488	-0.0014200	-0.0016449	-0.0011951
Chung-Lu	20	-0.0291900	-0.0301626	-0.0282174	-0.0013000	-0.0015030	-0.0010970
