model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	0.0000003	-0.0000081	0.0000088	0.0000003	-0.0000081	0.0000088
Erdos-Renyi	2	0.0000016	-0.0000116	0.0000149	0.0000013	-0.0000068	0.0000094
Erdos-Renyi	3	0.0000032	-0.0000128	0.0000191	0.0000016	-0.0000063	0.0000095
Erdos-Renyi	4	0.0000029	-0.0000172	0.0000231	-0.0000002	-0.0000088	0.0000084
Erdos-Renyi	5	0.0000073	-0.0000165	0.0000311	0.0000044	-0.0000044	0.0000132
Erdos-Renyi	6	0.0000134	-0.0000132	0.0000400	0.0000060	-0.0000021	0.0000142
Erdos-Renyi	7	0.0000112	-0.0000171	0.0000395	-0.0000022	-0.0000101	0.0000058
Erdos-Renyi	8	0.0000087	-0.0000198	0.0000372	-0.0000025	-0.0000113	0.0000063
Erdos-Renyi	9	0.0000079	-0.0000227	0.0000386	-0.0000008	-0.0000089	0.0000074
Erdos-Renyi	10	0.0000020	-0.0000294	0.0000334	-0.0000060	-0.0000143	0.0000024
Erdos-Renyi	11	0.0000034	-0.0000295	0.0000363	0.0000014	-0.0000063	0.0000091
Erdos-Renyi	12	0.0000098	-0.0000236	0.0000432	0.0000064	-0.0000027	0.0000156
Erdos-Renyi	13	0.0000154	-0.0000195	0.0000503	0.0000056	-0.0000023	0.0000134
Erdos-Renyi	14	0.0000114	-0.0000251	0.0000480	-0.0000040	-0.0000123	0.0000044
Erdos-Renyi	15	0.0000092	-0.0000269	0.0000453	-0.0000022	-0.0000104	0.0000059
Erdos-Renyi	16	0.0000201	-0.0000180	0.0000582	0.0000109	0.0000025	0.0000193
Erdos-Renyi	17	0.0000168	-0.0000238	0.0000574	-0.0000033	-0.0000118	0.0000052
Erdos-Renyi	18	0.0000105	-0.0000299	0.0000509	-0.0000063	-0.0000144	0.0000018
Erdos-Renyi	19	0.0000098	-0.0000327	0.0000523	-0.0000007	-0.0000088	0.0000073
Erdos-Renyi	20	0.0000030	-0.0000398	0.0000459	-0.0000068	-0.0000140	0.0000004
