model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	454.3796500	449.7823426	458.9769574	454.3796500	449.7823426	458.9769574
GCN_AE	2	509.9927500	493.1989803	526.7865197	55.6131000	37.2663574	73.9598426
GCN_AE	3	500.1150000	496.1771178	504.0528822	-9.8777500	-23.1856715	3.4301715
GCN_AE	4	498.2578000	497.5315622	498.9840378	-1.8572000	-6.0584783	2.3440783
GCN_AE	5	498.3538500	497.6931825	499.0145175	0.0960500	-0.1212302	0.3133302
GCN_AE	6	498.4019500	497.7489397	499.0549603	0.0481000	-0.0607098	0.1569098
GCN_AE	7	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	8	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	9	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	10	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	11	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	12	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	13	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	14	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	15	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	16	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	17	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	18	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	19	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
GCN_AE	20	498.4019500	497.7489397	499.0549603	0.0000000	nan	nan
