model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GraphRNN	1	-0.0018991	-0.0032348	-0.0005633	-0.0018991	-0.0032348	-0.0005633
GraphRNN	2	-0.1129013	nan	nan	-0.1109201	nan	nan
GraphRNN	3	-0.2104878	-0.2687649	-0.1522107	-0.1021251	nan	nan
GraphRNN	4	-0.3565371	-0.4606804	-0.2523938	-0.1460493	-0.2667757	-0.0253229
GraphRNN	5	-0.2168971	-0.2512366	-0.1825575	0.1396400	0.0377494	0.2415307
GraphRNN	6	-0.2431283	-0.3220476	-0.1642090	-0.0262312	-0.1152614	0.0627990
GraphRNN	7	-0.3190786	-0.3467699	-0.2913874	-0.0759504	-0.1593697	0.0074690
GraphRNN	8	-0.4103158	-0.5016397	-0.3189920	-0.0912372	-0.1884411	0.0059667
GraphRNN	9	-0.3559823	-0.3827582	-0.3292065	0.0543335	-0.0452676	0.1539347
GraphRNN	10	-0.5321515	-0.6492136	-0.4150893	-0.1761691	-0.2937418	-0.0585964
GraphRNN	11	-0.4259781	-0.4757659	-0.3761904	0.1061733	-0.0192073	0.2315539
GraphRNN	12	-0.6025846	-0.7121973	-0.4929718	-0.1766064	-0.3007222	-0.0524906
GraphRNN	13	-0.4731843	-0.5102814	-0.4360872	0.1294003	0.0152941	0.2435065
GraphRNN	14	-0.6118119	-0.7283824	-0.4952415	-0.1386276	-0.2642787	-0.0129766
GraphRNN	15	-0.5749074	-0.6416267	-0.5081881	0.0369045	-0.0915882	0.1653973
GraphRNN	16	-0.6795393	-0.8089890	-0.5500897	-0.1046319	-0.2489799	0.0397161
GraphRNN	17	-0.6147025	-0.6783063	-0.5510987	0.0648368	-0.0774592	0.2071328
GraphRNN	18	-0.6524066	-0.7653296	-0.5394835	-0.0377040	-0.1626333	0.0872253
GraphRNN	19	-0.4814862	-0.5558755	-0.4070969	0.1709204	0.0511863	0.2906544
GraphRNN	20	-0.5959212	-0.7176801	-0.4741623	-0.1144350	-0.2536990	0.0248291
