model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.0018787	0.0018490	0.0019084	0.0018787	0.0018490	0.0019084
Kronecker	2	0.0049734	0.0049172	0.0050295	0.0030946	0.0030612	0.0031280
Kronecker	3	0.0107998	0.0106850	0.0109146	0.0058264	0.0057569	0.0058959
Kronecker	4	0.0242380	0.0239601	0.0245159	0.0134382	0.0132579	0.0136186
Kronecker	5	0.0514138	0.0508514	0.0519761	0.0271758	0.0268899	0.0274616
Kronecker	6	0.1035431	0.1024951	0.1045910	0.0521293	0.0513040	0.0529547
Kronecker	7	0.1952436	0.1926533	0.1978339	0.0917005	0.0896184	0.0937825
Kronecker	8	0.3642722	0.3577506	0.3707938	0.1690286	0.1645529	0.1735043
Kronecker	9	0.6491272	0.6374497	0.6608046	0.2848550	0.2780020	0.2917080
Kronecker	10	0.8060847	0.8041722	0.8079972	0.1569576	0.1467242	0.1671909
Kronecker	11	0.8247612	0.8240809	0.8254416	0.0186765	0.0165508	0.0208022
Kronecker	12	0.8294520	0.8289747	0.8299293	0.0046908	0.0044667	0.0049148
Kronecker	13	0.8268023	0.8254105	0.8281940	-0.0026497	-0.0043828	-0.0009166
Kronecker	14	0.8253099	0.8246690	0.8259507	-0.0014924	-0.0034874	0.0005026
Kronecker	15	0.8297919	0.8292815	0.8303022	0.0044820	0.0043379	0.0046261
Kronecker	16	0.8272652	0.8259852	0.8285452	-0.0025266	-0.0042876	-0.0007657
Kronecker	17	0.8256529	0.8249674	0.8263383	-0.0016123	-0.0035636	0.0003389
Kronecker	18	0.8300044	0.8294585	0.8305503	0.0043515	0.0041852	0.0045179
Kronecker	19	0.8274826	0.8262256	0.8287397	-0.0025218	-0.0043162	-0.0007273
Kronecker	20	0.8257985	0.8250956	0.8265013	-0.0016842	-0.0036388	0.0002705
