model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Linear_AE	1	0.4937165	0.4930224	0.4944105	0.4937165	0.4930224	0.4944105
Linear_AE	2	0.4950264	0.4943776	0.4956752	0.0013099	0.0009048	0.0017150
Linear_AE	3	0.4966546	0.4960414	0.4972679	0.0016283	0.0008447	0.0024118
Linear_AE	4	0.4973471	0.4967924	0.4979017	0.0006924	0.0001943	0.0011906
Linear_AE	5	0.4976062	0.4971612	0.4980511	0.0002591	-0.0001268	0.0006450
Linear_AE	6	0.4976313	0.4971731	0.4980896	0.0000252	-0.0001245	0.0001748
Linear_AE	7	0.4976111	0.4972445	0.4979776	-0.0000203	-0.0001931	0.0001526
Linear_AE	8	0.4977279	0.4974428	0.4980131	0.0001169	-0.0000592	0.0002929
Linear_AE	9	0.4977054	0.4973924	0.4980184	-0.0000225	-0.0001568	0.0001118
Linear_AE	10	0.4976887	0.4974069	0.4979705	-0.0000167	-0.0001492	0.0001158
Linear_AE	11	0.4977003	0.4974493	0.4979513	0.0000116	-0.0000642	0.0000874
Linear_AE	12	0.4977153	0.4974779	0.4979526	0.0000150	-0.0000394	0.0000693
Linear_AE	13	0.4976846	0.4974716	0.4978976	-0.0000306	-0.0000821	0.0000209
Linear_AE	14	0.4976775	0.4974624	0.4978926	-0.0000072	-0.0000303	0.0000160
Linear_AE	15	0.4976825	0.4974744	0.4978907	0.0000051	-0.0000216	0.0000317
Linear_AE	16	0.4976855	0.4974778	0.4978933	0.0000030	-0.0000142	0.0000202
Linear_AE	17	0.4976841	0.4974755	0.4978928	-0.0000014	-0.0000131	0.0000103
Linear_AE	18	0.4976792	0.4974534	0.4979050	-0.0000050	-0.0000331	0.0000232
Linear_AE	19	0.4976748	0.4974508	0.4978988	-0.0000044	-0.0000112	0.0000024
Linear_AE	20	0.4976718	0.4974659	0.4978778	-0.0000030	-0.0000298	0.0000239
