model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BUGGE	1	-0.0280169	-0.0282158	-0.0278180	-0.0280169	-0.0282158	-0.0278180
BUGGE	2	-0.0286843	-0.0288185	-0.0285502	-0.0006674	-0.0009352	-0.0003997
BUGGE	3	-0.0287612	-0.0289012	-0.0286213	-0.0000769	-0.0002544	0.0001006
BUGGE	4	-0.0288668	-0.0289883	-0.0287453	-0.0001056	-0.0002909	0.0000797
BUGGE	5	-0.0287467	-0.0288658	-0.0286276	0.0001201	-0.0000560	0.0002963
BUGGE	6	-0.0287181	-0.0288379	-0.0285983	0.0000286	-0.0001375	0.0001948
BUGGE	7	-0.0287448	-0.0288996	-0.0285900	-0.0000267	-0.0002057	0.0001523
BUGGE	8	-0.0287941	-0.0289199	-0.0286683	-0.0000493	-0.0002166	0.0001181
BUGGE	9	-0.0289136	-0.0290471	-0.0287802	-0.0001196	-0.0002523	0.0000132
BUGGE	10	-0.0289035	-0.0290418	-0.0287652	0.0000101	-0.0001401	0.0001603
BUGGE	11	-0.0287819	-0.0289373	-0.0286265	0.0001216	-0.0000467	0.0002899
BUGGE	12	-0.0288565	-0.0289910	-0.0287219	-0.0000745	-0.0002332	0.0000841
BUGGE	13	-0.0288189	-0.0289610	-0.0286769	0.0000375	-0.0001177	0.0001927
BUGGE	14	-0.0289628	-0.0290740	-0.0288516	-0.0001439	-0.0003058	0.0000180
BUGGE	15	-0.0289479	-0.0290789	-0.0288169	0.0000150	-0.0001365	0.0001664
BUGGE	16	-0.0290802	-0.0291752	-0.0289852	-0.0001323	-0.0002763	0.0000116
BUGGE	17	-0.0289975	-0.0291402	-0.0288548	0.0000827	-0.0000586	0.0002240
BUGGE	18	-0.0290359	-0.0291425	-0.0289293	-0.0000384	-0.0001735	0.0000966
BUGGE	19	-0.0291286	-0.0292348	-0.0290224	-0.0000927	-0.0002149	0.0000295
BUGGE	20	-0.0291015	-0.0292041	-0.0289989	0.0000271	-0.0000793	0.0001336
