model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	0.0025558	-0.0332326	0.0383442	0.0025558	-0.0332326	0.0383442
Erdos-Renyi	2	-0.0030426	-0.0561777	0.0500925	-0.0055984	-0.0432921	0.0320954
Erdos-Renyi	3	0.0000609	-0.0665443	0.0666660	0.0031034	-0.0364730	0.0426799
Erdos-Renyi	4	0.0035903	-0.0757116	0.0828922	0.0035294	-0.0392498	0.0463086
Erdos-Renyi	5	-0.0363286	-0.1269855	0.0543283	-0.0399189	-0.0761421	-0.0036956
Erdos-Renyi	6	-0.0118661	-0.1128036	0.0890714	0.0244625	-0.0174487	0.0663736
Erdos-Renyi	7	-0.0311765	-0.1478908	0.0855378	-0.0193103	-0.0621585	0.0235378
Erdos-Renyi	8	-0.0308722	-0.1598353	0.0980909	0.0003043	-0.0403381	0.0409466
Erdos-Renyi	9	-0.0355578	-0.1680848	0.0969692	-0.0046856	-0.0366550	0.0272839
Erdos-Renyi	10	-0.0427383	-0.1793277	0.0938511	-0.0071805	-0.0483220	0.0339610
Erdos-Renyi	11	-0.0422312	-0.1839477	0.0994852	0.0005071	-0.0393427	0.0403569
Erdos-Renyi	12	-0.0248276	-0.1639239	0.1142687	0.0174037	-0.0197285	0.0545358
Erdos-Renyi	13	-0.0595740	-0.2011810	0.0820330	-0.0347465	-0.0711094	0.0016165
Erdos-Renyi	14	-0.0395132	-0.1894975	0.1104711	0.0200609	-0.0162947	0.0564164
Erdos-Renyi	15	-0.0442394	-0.1925297	0.1040510	-0.0047262	-0.0364196	0.0269673
Erdos-Renyi	16	-0.0285598	-0.1786923	0.1215726	0.0156795	-0.0208912	0.0522502
Erdos-Renyi	17	0.0003245	-0.1577289	0.1583780	0.0288844	-0.0124957	0.0702645
Erdos-Renyi	18	0.0373834	-0.1308863	0.2056531	0.0370588	0.0014205	0.0726971
Erdos-Renyi	19	0.0625152	-0.1078765	0.2329069	0.0251318	-0.0083885	0.0586522
Erdos-Renyi	20	0.0613387	-0.1052737	0.2279512	-0.0011765	-0.0343769	0.0320239
