model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	12.1575392	11.9365206	12.3785578	12.1575392	11.9365206	12.3785578
Kronecker	2	35.3273834	34.8724710	35.7822958	23.1698442	22.9124363	23.4272521
Kronecker	3	79.0257623	78.5025508	79.5489739	43.6983789	43.2851839	44.1115739
Kronecker	4	158.3404693	156.8038100	159.8771287	79.3147070	78.1456396	80.4837745
Kronecker	5	293.4097467	290.4896516	296.3298418	135.0692773	133.2984571	136.8400975
Kronecker	6	404.4457623	403.8802774	405.0112473	111.0360156	108.6246510	113.4473802
Kronecker	7	417.8173639	417.6086246	418.0261031	13.3716016	12.8768161	13.8663870
Kronecker	8	419.2683404	419.1700430	419.3666379	1.4509766	1.3011717	1.6007814
Kronecker	9	419.7622858	419.6922005	419.8323710	0.4939453	0.4151159	0.5727747
Kronecker	10	420.0405279	419.9611838	420.1198721	0.2782422	0.2174849	0.3389995
Kronecker	11	420.2247272	420.1520863	420.2973680	0.1841992	0.0917087	0.2766897
Kronecker	12	420.2977740	420.2431292	420.3524188	0.0730469	-0.0067043	0.1527981
Kronecker	13	420.2909967	420.2307727	420.3512207	-0.0067773	-0.0872829	0.0737283
Kronecker	14	420.2844733	420.2252525	420.3436940	-0.0065234	-0.0745646	0.0615177
Kronecker	15	420.3144147	420.2468788	420.3819505	0.0299414	-0.0517948	0.1116776
Kronecker	16	420.2969733	420.2296045	420.3643420	-0.0174414	-0.1025239	0.0676411
Kronecker	17	420.2301764	420.1694997	420.2908531	-0.0667969	-0.1397367	0.0061430
Kronecker	18	420.2517193	420.1992111	420.3042276	0.0215430	-0.0378970	0.0809829
Kronecker	19	420.2360358	420.1849025	420.2871690	-0.0156836	-0.0909544	0.0595872
Kronecker	20	420.2791608	420.2159322	420.3423893	0.0431250	-0.0328663	0.1191163
