model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Linear_AE	1	0.4022928	0.4010694	0.4035162	0.4022928	0.4010694	0.4035162
Linear_AE	2	0.4638933	0.4627242	0.4650624	0.0616005	0.0602058	0.0629952
Linear_AE	3	0.4733962	0.4725604	0.4742320	0.0095029	0.0082756	0.0107302
Linear_AE	4	0.4745660	0.4737043	0.4754276	0.0011698	0.0010362	0.0013033
Linear_AE	5	0.4757258	0.4747947	0.4766569	0.0011598	0.0009629	0.0013567
Linear_AE	6	0.4765280	0.4754629	0.4775932	0.0008023	0.0005091	0.0010955
Linear_AE	7	0.4768591	0.4753863	0.4783320	0.0003311	-0.0003171	0.0009793
Linear_AE	8	0.4770969	0.4754502	0.4787435	0.0002377	-0.0002957	0.0007712
Linear_AE	9	0.4770168	0.4753349	0.4786987	-0.0000801	-0.0003545	0.0001943
Linear_AE	10	0.4769163	0.4752193	0.4786133	-0.0001005	-0.0002633	0.0000623
Linear_AE	11	0.4767835	0.4750700	0.4784969	-0.0001328	-0.0002654	-0.0000003
Linear_AE	12	0.4767981	0.4750759	0.4785203	0.0000147	-0.0000307	0.0000600
Linear_AE	13	0.4768232	0.4750912	0.4785551	0.0000250	-0.0000225	0.0000726
Linear_AE	14	0.4768253	0.4750940	0.4785566	0.0000021	-0.0000030	0.0000072
Linear_AE	15	0.4767689	0.4750610	0.4784768	-0.0000564	-0.0001800	0.0000672
Linear_AE	16	0.4767328	0.4750345	0.4784311	-0.0000361	-0.0001166	0.0000444
Linear_AE	17	0.4771643	0.4751723	0.4791564	0.0004315	-0.0004296	0.0012927
Linear_AE	18	0.4770033	0.4751601	0.4788465	-0.0001610	-0.0004777	0.0001557
Linear_AE	19	0.4770050	0.4751619	0.4788481	0.0000016	-0.0000010	0.0000043
Linear_AE	20	0.4770034	0.4751605	0.4788463	-0.0000016	-0.0000042	0.0000011
