model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
SBM	1	-0.0002531	-0.0003318	-0.0001744	-0.0002531	-0.0003318	-0.0001744
SBM	2	-0.0004971	-0.0006151	-0.0003790	-0.0002439	-0.0003187	-0.0001692
SBM	3	-0.0006950	-0.0008482	-0.0005418	-0.0001979	-0.0002706	-0.0001252
SBM	4	-0.0008894	-0.0010751	-0.0007037	-0.0001945	-0.0002707	-0.0001182
SBM	5	-0.0010976	-0.0013109	-0.0008842	-0.0002081	-0.0002796	-0.0001366
SBM	6	-0.0012923	-0.0015053	-0.0010792	-0.0001947	-0.0002694	-0.0001200
SBM	7	-0.0014765	-0.0016997	-0.0012532	-0.0001842	-0.0002606	-0.0001078
SBM	8	-0.0016176	-0.0018510	-0.0013842	-0.0001411	-0.0002249	-0.0000573
SBM	9	-0.0018191	-0.0020663	-0.0015719	-0.0002015	-0.0002657	-0.0001374
SBM	10	-0.0019261	-0.0021788	-0.0016735	-0.0001070	-0.0001616	-0.0000524
SBM	11	-0.0021221	-0.0023727	-0.0018715	-0.0001960	-0.0002697	-0.0001222
SBM	12	-0.0023104	-0.0025743	-0.0020466	-0.0001883	-0.0002542	-0.0001225
SBM	13	-0.0024774	-0.0027690	-0.0021859	-0.0001670	-0.0002450	-0.0000890
SBM	14	-0.0025877	-0.0028863	-0.0022891	-0.0001103	-0.0001745	-0.0000460
SBM	15	-0.0027392	-0.0030474	-0.0024310	-0.0001515	-0.0002228	-0.0000802
SBM	16	-0.0029112	-0.0032089	-0.0026135	-0.0001720	-0.0002422	-0.0001017
SBM	17	-0.0030693	-0.0033600	-0.0027787	-0.0001582	-0.0002149	-0.0001014
SBM	18	-0.0032458	-0.0035287	-0.0029629	-0.0001764	-0.0002480	-0.0001049
SBM	19	-0.0033925	-0.0036821	-0.0031029	-0.0001467	-0.0002314	-0.0000621
SBM	20	-0.0035105	-0.0037943	-0.0032267	-0.0001180	-0.0001826	-0.0000534
