model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BUGGE	1	-0.0023343	-0.0023680	-0.0023006	-0.0023343	-0.0023680	-0.0023006
BUGGE	2	-0.0023767	-0.0024073	-0.0023461	-0.0000424	-0.0000793	-0.0000055
BUGGE	3	-0.0022954	-0.0023260	-0.0022648	0.0000813	0.0000453	0.0001174
BUGGE	4	-0.0021460	-0.0022056	-0.0020864	0.0001494	0.0000915	0.0002072
BUGGE	5	-0.0021056	-0.0021616	-0.0020495	0.0000404	-0.0000342	0.0001150
BUGGE	6	-0.0021006	-0.0021547	-0.0020465	0.0000050	-0.0000753	0.0000852
BUGGE	7	-0.0021210	-0.0021902	-0.0020519	-0.0000204	-0.0001080	0.0000671
BUGGE	8	-0.0021827	-0.0022255	-0.0021400	-0.0000617	-0.0001359	0.0000124
BUGGE	9	-0.0021777	-0.0022447	-0.0021107	0.0000050	-0.0000746	0.0000847
BUGGE	10	-0.0022175	-0.0022710	-0.0021640	-0.0000398	-0.0001112	0.0000316
BUGGE	11	-0.0022547	-0.0022977	-0.0022117	-0.0000372	-0.0000922	0.0000178
BUGGE	12	-0.0022561	-0.0023074	-0.0022047	-0.0000014	-0.0000647	0.0000619
BUGGE	13	-0.0022846	-0.0023213	-0.0022479	-0.0000285	-0.0000786	0.0000216
BUGGE	14	-0.0022759	-0.0023207	-0.0022311	0.0000087	-0.0000400	0.0000573
BUGGE	15	-0.0022935	-0.0023366	-0.0022504	-0.0000176	-0.0000736	0.0000384
BUGGE	16	-0.0023084	-0.0023412	-0.0022757	-0.0000149	-0.0000569	0.0000270
BUGGE	17	-0.0023081	-0.0023472	-0.0022690	0.0000003	-0.0000404	0.0000411
BUGGE	18	-0.0022870	-0.0023295	-0.0022446	0.0000211	-0.0000286	0.0000707
BUGGE	19	-0.0023100	-0.0023542	-0.0022658	-0.0000230	-0.0000582	0.0000122
BUGGE	20	-0.0022979	-0.0023473	-0.0022486	0.0000121	-0.0000393	0.0000635
