model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
CNRG	1	-0.6484382	-0.6609748	-0.6359017	-0.6484382	-0.6609748	-0.6359017
CNRG	2	-1.0811661	-1.0960862	-1.0662459	-0.4327278	-0.4428952	-0.4225605
CNRG	3	-1.3786344	-1.3922229	-1.3650458	-0.2974683	-0.3050925	-0.2898441
CNRG	4	-1.5971846	-1.6101415	-1.5842276	-0.2185502	-0.2247082	-0.2123922
CNRG	5	-1.7595343	-1.7727343	-1.7463344	-0.1623498	-0.1681030	-0.1565965
CNRG	6	-1.8815710	-1.8949369	-1.8682050	-0.1220366	-0.1263345	-0.1177388
CNRG	7	-1.9802779	-1.9939825	-1.9665734	-0.0987070	-0.1035173	-0.0938967
CNRG	8	-2.0541197	-2.0681639	-2.0400754	-0.0738417	-0.0775447	-0.0701388
CNRG	9	-2.1198179	-2.1347368	-2.1048991	-0.0656983	-0.0698613	-0.0615353
CNRG	10	-2.1717222	-2.1865444	-2.1568999	-0.0519042	-0.0560322	-0.0477763
CNRG	11	-2.2165807	-2.2319468	-2.2012146	-0.0448585	-0.0485587	-0.0411583
CNRG	12	-2.2548631	-2.2712952	-2.2384310	-0.0382824	-0.0422381	-0.0343267
CNRG	13	-2.2877134	-2.3042018	-2.2712250	-0.0328502	-0.0365126	-0.0291879
CNRG	14	-2.3169823	-2.3330336	-2.3009310	-0.0292689	-0.0329910	-0.0255468
CNRG	15	-2.3406659	-2.3571622	-2.3241696	-0.0236837	-0.0270862	-0.0202811
CNRG	16	-2.3631799	-2.3802891	-2.3460706	-0.0225139	-0.0255893	-0.0194386
CNRG	17	-2.3838674	-2.4008532	-2.3668817	-0.0206876	-0.0240945	-0.0172807
CNRG	18	-2.4018455	-2.4189678	-2.3847233	-0.0179781	-0.0210976	-0.0148585
CNRG	19	-2.4161247	-2.4335735	-2.3986760	-0.0142792	-0.0173355	-0.0112230
CNRG	20	-2.4343748	-2.4518064	-2.4169433	-0.0182501	-0.0215512	-0.0149490
