model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	-0.0001662	-0.0001677	-0.0001648	-0.0001662	-0.0001677	-0.0001648
Chung-Lu	2	-0.0003004	-0.0003023	-0.0002986	-0.0001342	-0.0001358	-0.0001327
Chung-Lu	3	-0.0004117	-0.0004136	-0.0004097	-0.0001112	-0.0001124	-0.0001101
Chung-Lu	4	-0.0005064	-0.0005085	-0.0005042	-0.0000947	-0.0000962	-0.0000932
Chung-Lu	5	-0.0005889	-0.0005911	-0.0005867	-0.0000825	-0.0000838	-0.0000813
Chung-Lu	6	-0.0006620	-0.0006643	-0.0006597	-0.0000731	-0.0000742	-0.0000720
Chung-Lu	7	-0.0007276	-0.0007300	-0.0007251	-0.0000656	-0.0000668	-0.0000644
Chung-Lu	8	-0.0007875	-0.0007899	-0.0007850	-0.0000599	-0.0000609	-0.0000590
Chung-Lu	9	-0.0008417	-0.0008441	-0.0008393	-0.0000542	-0.0000553	-0.0000532
Chung-Lu	10	-0.0008908	-0.0008932	-0.0008885	-0.0000491	-0.0000501	-0.0000482
Chung-Lu	11	-0.0009382	-0.0009406	-0.0009357	-0.0000473	-0.0000482	-0.0000465
Chung-Lu	12	-0.0009811	-0.0009833	-0.0009790	-0.0000430	-0.0000438	-0.0000421
Chung-Lu	13	-0.0010217	-0.0010238	-0.0010195	-0.0000405	-0.0000414	-0.0000397
Chung-Lu	14	-0.0010601	-0.0010623	-0.0010580	-0.0000384	-0.0000392	-0.0000377
Chung-Lu	15	-0.0010950	-0.0010971	-0.0010928	-0.0000348	-0.0000355	-0.0000342
Chung-Lu	16	-0.0011290	-0.0011312	-0.0011268	-0.0000340	-0.0000346	-0.0000334
Chung-Lu	17	-0.0011607	-0.0011629	-0.0011584	-0.0000317	-0.0000324	-0.0000310
Chung-Lu	18	-0.0011912	-0.0011934	-0.0011890	-0.0000305	-0.0000312	-0.0000298
Chung-Lu	19	-0.0012197	-0.0012220	-0.0012174	-0.0000285	-0.0000292	-0.0000277
Chung-Lu	20	-0.0012465	-0.0012486	-0.0012443	-0.0000268	-0.0000275	-0.0000260
