model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	-0.0026713	-0.0134883	0.0081458	-0.0026713	-0.0134883	0.0081458
Erdos-Renyi	2	-0.0048399	-0.0237716	0.0140917	-0.0021687	-0.0167046	0.0123672
Erdos-Renyi	3	-0.0009363	-0.0239565	0.0220839	0.0039036	-0.0084384	0.0162456
Erdos-Renyi	4	-0.0032220	-0.0285827	0.0221387	-0.0022857	-0.0149030	0.0103316
Erdos-Renyi	5	-0.0050671	-0.0320016	0.0218673	-0.0018451	-0.0122376	0.0085474
Erdos-Renyi	6	-0.0051360	-0.0369872	0.0267152	-0.0000688	-0.0136857	0.0135480
Erdos-Renyi	7	-0.0097212	-0.0447333	0.0252909	-0.0045852	-0.0148555	0.0056851
Erdos-Renyi	8	-0.0125645	-0.0523161	0.0271870	-0.0028434	-0.0143453	0.0086586
Erdos-Renyi	9	-0.0127367	-0.0522502	0.0267769	-0.0001721	-0.0128286	0.0124844
Erdos-Renyi	10	-0.0111463	-0.0537353	0.0314427	0.0015904	-0.0101029	0.0132837
Erdos-Renyi	11	-0.0060241	-0.0510515	0.0390033	0.0051222	-0.0063357	0.0165801
Erdos-Renyi	12	-0.0025336	-0.0475148	0.0424477	0.0034905	-0.0084249	0.0154059
Erdos-Renyi	13	-0.0019966	-0.0464254	0.0424323	0.0005370	-0.0132824	0.0143564
Erdos-Renyi	14	-0.0091360	-0.0573523	0.0390804	-0.0071394	-0.0192471	0.0049683
Erdos-Renyi	15	-0.0057349	-0.0545066	0.0430367	0.0034010	-0.0088870	0.0156891
Erdos-Renyi	16	-0.0142238	-0.0695372	0.0410897	-0.0084888	-0.0201077	0.0031301
Erdos-Renyi	17	-0.0184854	-0.0748197	0.0378490	-0.0042616	-0.0189412	0.0104179
Erdos-Renyi	18	-0.0165577	-0.0787157	0.0456004	0.0019277	-0.0093492	0.0132046
Erdos-Renyi	19	-0.0149604	-0.0772739	0.0473531	0.0015972	-0.0111065	0.0143010
Erdos-Renyi	20	-0.0230017	-0.0834921	0.0374887	-0.0080413	-0.0189620	0.0028794
