model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	609.7476764	599.3122681	620.1830847	609.7476764	599.3122681	620.1830847
GCN_AE	2	762.2506368	742.2332136	782.2680601	152.5029604	132.2846627	172.7212581
GCN_AE	3	755.6640964	743.6221292	767.7060636	-6.5865404	-22.2230292	9.0499483
GCN_AE	4	753.5671945	743.4983281	763.6360609	-2.0969019	-13.0162447	8.8224409
GCN_AE	5	752.5175904	742.7817128	762.2534679	-1.0496041	-3.4334623	1.3342540
GCN_AE	6	752.4471945	742.6903273	762.2040617	-0.0703959	-0.7021705	0.5613787
GCN_AE	7	752.4674699	742.7488916	762.1860482	0.0202754	-0.3666543	0.4072051
GCN_AE	8	752.2717040	742.2769567	762.2664512	-0.1957659	-0.6211581	0.2296263
GCN_AE	9	752.3485714	742.3892211	762.3079218	0.0768675	-0.1250797	0.2788146
GCN_AE	10	752.3584165	742.4045738	762.3122592	0.0098451	-0.0124261	0.0321162
GCN_AE	11	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	12	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	13	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	14	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	15	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	16	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	17	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	18	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	19	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
GCN_AE	20	752.3584165	742.4045738	762.3122592	0.0000000	nan	nan
