model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.9549328	0.5712177	1.3386479	0.9549328	0.5712177	1.3386479
Kronecker	2	6.1891936	5.4178284	6.9605587	5.2342608	4.8316312	5.6368903
Kronecker	3	16.2236718	14.5521558	17.8951877	10.0344782	9.1248751	10.9440813
Kronecker	4	35.3054979	34.0941588	36.5168369	19.0818261	18.5888473	19.5748049
Kronecker	5	69.2860887	63.4919263	75.0802511	33.9805908	29.3916465	38.5695352
Kronecker	6	131.5525682	115.1676357	147.9375007	62.2664795	51.6744934	72.8584656
Kronecker	7	243.8111131	205.0137984	282.6084278	112.2585449	89.8439825	134.6731073
Kronecker	8	450.0733201	402.0275920	498.1190483	206.2622070	196.6485637	215.8758504
Kronecker	9	757.3528612	708.8463369	805.8593854	307.2795410	284.0713710	330.4877110
Kronecker	10	827.3242967	820.1338200	834.5147734	69.9714355	28.5581640	111.3847071
Kronecker	11	840.5558641	839.1363785	841.9753497	13.2315674	5.5450995	20.9180353
Kronecker	12	845.2792528	844.0687627	846.4897428	4.7233887	4.3187050	5.1280723
Kronecker	13	842.9383104	832.7229340	853.1536868	-2.3409424	-13.5181881	8.8363033
Kronecker	14	841.1676805	838.0044224	844.3309386	-1.7706299	-15.1463392	11.6050795
Kronecker	15	845.8185594	843.4824717	848.1546471	4.6508789	3.8214178	5.4803400
Kronecker	16	843.0984666	834.7321593	851.4647740	-2.7200928	-13.4214189	7.9812334
Kronecker	17	841.2633836	836.9514574	845.5753099	-1.8350830	-14.5053182	10.8351521
Kronecker	18	845.8271043	842.0582291	849.5959795	4.5637207	4.0185077	5.1089337
Kronecker	19	843.4644334	835.3651370	851.5637299	-2.3626709	-14.2289498	9.5036080
Kronecker	20	841.4740770	836.7964716	846.1516823	-1.9903564	-14.7436390	10.7629262
