model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
CNRG	1	0.0000011	-0.0000000	0.0000022	0.0000011	-0.0000000	0.0000022
CNRG	2	0.0000008	-0.0000007	0.0000023	-0.0000003	-0.0000014	0.0000008
CNRG	3	0.0000006	-0.0000014	0.0000026	-0.0000002	-0.0000014	0.0000010
CNRG	4	-0.0000000	-0.0000025	0.0000025	-0.0000006	-0.0000018	0.0000006
CNRG	5	0.0000001	-0.0000025	0.0000028	0.0000002	-0.0000008	0.0000012
CNRG	6	-0.0000003	-0.0000030	0.0000024	-0.0000004	-0.0000014	0.0000006
CNRG	7	-0.0000006	-0.0000035	0.0000023	-0.0000003	-0.0000015	0.0000009
CNRG	8	-0.0000005	-0.0000038	0.0000028	0.0000001	-0.0000011	0.0000013
CNRG	9	-0.0000004	-0.0000039	0.0000031	0.0000001	-0.0000011	0.0000013
CNRG	10	-0.0000003	-0.0000040	0.0000033	0.0000001	-0.0000011	0.0000012
CNRG	11	-0.0000007	-0.0000046	0.0000031	-0.0000004	-0.0000015	0.0000007
CNRG	12	-0.0000011	-0.0000051	0.0000029	-0.0000004	-0.0000015	0.0000007
CNRG	13	-0.0000008	-0.0000050	0.0000033	0.0000003	-0.0000008	0.0000014
CNRG	14	-0.0000008	-0.0000050	0.0000035	0.0000001	-0.0000010	0.0000012
CNRG	15	-0.0000003	-0.0000044	0.0000038	0.0000005	-0.0000006	0.0000015
CNRG	16	-0.0000002	-0.0000045	0.0000041	0.0000000	-0.0000011	0.0000012
CNRG	17	-0.0000003	-0.0000047	0.0000042	-0.0000000	-0.0000013	0.0000012
CNRG	18	0.0000004	-0.0000042	0.0000050	0.0000007	-0.0000005	0.0000018
CNRG	19	0.0000007	-0.0000040	0.0000055	0.0000003	-0.0000009	0.0000015
CNRG	20	0.0000013	-0.0000036	0.0000063	0.0000006	-0.0000006	0.0000018
