model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	0.0025651	-0.0029801	0.0081104	0.0025651	-0.0029801	0.0081104
Erdos-Renyi	2	0.0046497	-0.0034075	0.0127070	0.0020846	-0.0035445	0.0077137
Erdos-Renyi	3	0.0089408	-0.0008083	0.0186899	0.0042910	-0.0014585	0.0100406
Erdos-Renyi	4	0.0107750	0.0002264	0.0213235	0.0018342	-0.0032515	0.0069199
Erdos-Renyi	5	0.0109577	-0.0009180	0.0228334	0.0001827	-0.0057064	0.0060719
Erdos-Renyi	6	0.0127174	-0.0004253	0.0258602	0.0017597	-0.0027444	0.0062639
Erdos-Renyi	7	0.0072420	-0.0062436	0.0207275	-0.0054755	-0.0104507	-0.0005002
Erdos-Renyi	8	0.0064975	-0.0083563	0.0213512	-0.0007445	-0.0058753	0.0043863
Erdos-Renyi	9	0.0025313	-0.0134512	0.0185138	-0.0039662	-0.0093643	0.0014320
Erdos-Renyi	10	0.0072826	-0.0097054	0.0242706	0.0047513	-0.0006284	0.0101309
Erdos-Renyi	11	0.0064162	-0.0104005	0.0232330	-0.0008663	-0.0060078	0.0042751
Erdos-Renyi	12	0.0096650	-0.0087520	0.0280819	0.0032487	-0.0026283	0.0091257
Erdos-Renyi	13	0.0067750	-0.0134731	0.0270230	-0.0028900	-0.0083162	0.0025362
Erdos-Renyi	14	0.0052115	-0.0156432	0.0260662	-0.0015635	-0.0057926	0.0026657
Erdos-Renyi	15	0.0059289	-0.0153187	0.0271765	0.0007174	-0.0047809	0.0062158
Erdos-Renyi	16	0.0057597	-0.0151792	0.0266986	-0.0001692	-0.0059237	0.0055852
Erdos-Renyi	17	0.0046159	-0.0170086	0.0262405	-0.0011438	-0.0063803	0.0040926
Erdos-Renyi	18	-0.0012521	-0.0221734	0.0196692	-0.0058680	-0.0103824	-0.0013536
Erdos-Renyi	19	-0.0046362	-0.0263346	0.0170621	-0.0033841	-0.0081528	0.0013846
Erdos-Renyi	20	-0.0122166	-0.0356483	0.0112152	-0.0075804	-0.0134317	-0.0017290
