model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
GCN_AE	1	657.3800859	649.8860435	664.8741283	657.3800859	649.8860435	664.8741283
GCN_AE	2	856.3175322	801.9898117	910.6452527	198.9374463	140.4081707	257.4667219
GCN_AE	3	797.8435767	760.7659926	834.9211609	-58.4739555	-80.7105225	-36.2373885
GCN_AE	4	778.4116621	745.1249020	811.6984222	-19.4319146	-33.7387098	-5.1251194
GCN_AE	5	777.0077314	741.3968577	812.6186050	-1.4039308	-5.7739827	2.9661212
GCN_AE	6	777.1454380	741.5907571	812.7001188	0.1377066	-0.0654194	0.3408326
GCN_AE	7	777.6290512	742.2631776	812.9949247	0.4836132	-0.2297468	1.1969732
GCN_AE	8	777.6290512	742.2631776	812.9949247	0.0000000	nan	nan
GCN_AE	9	777.6983470	742.3584304	813.0382636	0.0692958	-0.0329199	0.1715116
GCN_AE	10	777.6983470	742.3584304	813.0382636	0.0000000	nan	nan
GCN_AE	11	777.6983470	742.3584304	813.0382636	0.0000000	nan	nan
GCN_AE	12	777.6983470	742.3584304	813.0382636	0.0000000	nan	nan
GCN_AE	13	777.6983470	742.3584304	813.0382636	0.0000000	nan	nan
GCN_AE	14	777.6983470	742.3584304	813.0382636	0.0000000	nan	nan
GCN_AE	15	777.6952232	742.3576970	813.0327494	-0.0031238	-0.0099299	0.0036824
GCN_AE	16	777.7326565	742.3664099	813.0989032	0.0374333	-0.0441268	0.1189934
GCN_AE	17	777.7390342	742.3678779	813.1101906	0.0063777	-0.0075181	0.0202736
GCN_AE	18	777.7393987	742.3679616	813.1108357	0.0003644	-0.0004296	0.0011585
GCN_AE	19	777.7393987	742.3679616	813.1108357	0.0000000	nan	nan
GCN_AE	20	777.7315892	742.3675974	813.0955810	-0.0078094	-0.0248248	0.0092059
