model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Kronecker	1	0.6858913	0.6241036	0.7476790	0.6858913	0.6241036	0.7476790
Kronecker	2	1.9540051	1.7497190	2.1582911	1.2681138	1.1132760	1.4229516
Kronecker	3	4.8273179	4.3409927	5.3136431	2.8733128	2.5691183	3.1775073
Kronecker	4	10.7196599	9.6678504	11.7714693	5.8923420	5.2943368	6.4903472
Kronecker	5	22.3947535	19.8734590	24.9160481	11.6750937	10.1699609	13.1802264
Kronecker	6	45.9170167	41.1316154	50.7024180	23.5222632	21.2054352	25.8390911
Kronecker	7	87.8323697	77.6485915	98.0161478	41.9153530	36.4939451	47.3367608
Kronecker	8	164.3696534	146.2226279	182.5166789	76.5372838	68.3674687	84.7070988
Kronecker	9	301.9448487	268.5905082	335.2991893	137.5751953	122.0710869	153.0793037
Kronecker	10	543.8911727	486.0817466	601.7005987	241.9463239	216.9416421	266.9510058
Kronecker	11	800.3745711	781.2280297	819.5211125	256.4833984	213.5382552	299.4285417
Kronecker	12	842.6943256	840.3599389	845.0287122	42.3197545	24.6713537	59.9681552
Kronecker	13	848.2559885	846.9342483	849.5777287	5.5616629	4.4416478	6.6816781
Kronecker	14	847.7252268	845.0519583	850.3984953	-0.5307617	-4.1210259	3.0595025
Kronecker	15	845.8872664	843.8775634	847.8969695	-1.8379604	-5.9115333	2.2356125
Kronecker	16	848.7088694	847.1332390	850.2844998	2.8216030	-0.0007818	5.6439877
Kronecker	17	848.3109202	845.8003070	850.8215333	-0.3979492	-4.1083741	3.3124757
Kronecker	18	846.4386406	844.4864431	848.3908381	-1.8722796	-5.9252059	2.1806468
Kronecker	19	849.0177073	847.2150983	850.8203163	2.5790667	-0.3081765	5.4663099
Kronecker	20	848.6335694	846.1873211	851.0798177	-0.3841378	-4.1748099	3.4065343
