model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
SBM	1	0.0029848	-0.0016505	0.0076200	0.0029848	-0.0016505	0.0076200
SBM	2	-0.0023418	-0.0104501	0.0057665	-0.0053266	-0.0111087	0.0004555
SBM	3	-0.0045347	-0.0144309	0.0053615	-0.0021929	-0.0066107	0.0022249
SBM	4	0.0001895	-0.0111749	0.0115539	0.0047242	0.0001691	0.0092793
SBM	5	-0.0032826	-0.0166388	0.0100736	-0.0034721	-0.0099551	0.0030110
SBM	6	-0.0039391	-0.0181863	0.0103081	-0.0006565	-0.0069504	0.0056374
SBM	7	-0.0011506	-0.0162997	0.0139985	0.0027885	-0.0017747	0.0073517
SBM	8	-0.0004467	-0.0165279	0.0156345	0.0007039	-0.0048684	0.0062762
SBM	9	-0.0033570	-0.0197201	0.0130061	-0.0029103	-0.0075663	0.0017456
SBM	10	-0.0069239	-0.0255849	0.0117372	-0.0035668	-0.0096573	0.0025236
SBM	11	-0.0070795	-0.0271473	0.0129882	-0.0001557	-0.0053089	0.0049976
SBM	12	-0.0094078	-0.0300351	0.0112195	-0.0023283	-0.0070067	0.0023502
SBM	13	-0.0053333	-0.0269080	0.0162413	0.0040745	-0.0012351	0.0093840
SBM	14	-0.0065584	-0.0277813	0.0146645	-0.0012250	-0.0061421	0.0036920
SBM	15	-0.0046633	-0.0266227	0.0172961	0.0018951	-0.0034451	0.0072353
SBM	16	-0.0057868	-0.0295213	0.0179477	-0.0011235	-0.0068888	0.0046417
SBM	17	-0.0068562	-0.0313394	0.0176271	-0.0010694	-0.0064585	0.0043198
SBM	18	-0.0118782	-0.0376845	0.0139281	-0.0050220	-0.0099698	-0.0000742
SBM	19	-0.0069036	-0.0340302	0.0202231	0.0049746	-0.0004823	0.0104316
SBM	20	-0.0062876	-0.0325590	0.0199837	0.0006159	-0.0053665	0.0065983
