model	gen	abs_mean	abs95d	abs95u
BTER	1	3.3611200	3.2579645	3.4642755
BTER	2	6.4215600	6.2678689	6.5752511
BTER	3	8.9344800	8.7554383	9.1135217
BTER	4	11.0848600	10.9083083	11.2614117
BTER	5	12.9532800	12.7943046	13.1122554
BTER	6	14.7929000	14.6124278	14.9733722
BTER	7	16.3301800	16.1667509	16.4936091
BTER	8	17.6758800	17.5160400	17.8357200
BTER	9	18.9866800	18.8514312	19.1219288
BTER	10	20.0818200	19.9502967	20.2133433
BTER	11	21.1389400	21.0063646	21.2715154
BTER	12	22.1291600	22.0102921	22.2480279
BTER	13	22.9305800	22.8239597	23.0372003
BTER	14	23.7607400	23.6428154	23.8786646
BTER	15	24.5208400	24.4117344	24.6299456
BTER	16	25.2476400	25.1424057	25.3528743
BTER	17	25.9249000	25.8218743	26.0279257
BTER	18	26.5061800	26.4059898	26.6063702
BTER	19	27.0359400	26.9402194	27.1316606
BTER	20	27.5627600	27.4713326	27.6541874
