model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.2860800	0.2855063	0.2866537
BUGGE	2	0.2850400	0.2844490	0.2856310
BUGGE	3	0.2824000	0.2816670	0.2831330
BUGGE	4	0.2796000	0.2785697	0.2806303
BUGGE	5	0.2767200	0.2754258	0.2780142
BUGGE	6	0.2742800	0.2727265	0.2758335
BUGGE	7	0.2731400	0.2715211	0.2747589
BUGGE	8	0.2748400	0.2739704	0.2757096
BUGGE	9	0.2720000	0.2705441	0.2734559
BUGGE	10	0.2702600	0.2685686	0.2719514
BUGGE	11	0.2699400	0.2678450	0.2720350
BUGGE	12	0.2712600	0.2696130	0.2729070
BUGGE	13	0.2710000	0.2694109	0.2725891
BUGGE	14	0.2720400	0.2706092	0.2734708
BUGGE	15	0.2708200	0.2691822	0.2724578
BUGGE	16	0.2717400	0.2701295	0.2733505
BUGGE	17	0.2710200	0.2694221	0.2726179
BUGGE	18	0.2722400	0.2707257	0.2737543
BUGGE	19	0.2710400	0.2692666	0.2728134
BUGGE	20	0.2712400	0.2692193	0.2732607
