model	gen	abs_mean	abs95d	abs95u
SBM	1	1.8586000	1.8230290	1.8941710
SBM	2	1.8936800	1.8630455	1.9243145
SBM	3	1.9844600	1.9440563	2.0248637
SBM	4	2.0112600	1.9717344	2.0507856
SBM	5	1.9803200	1.9405611	2.0200789
SBM	6	2.0404000	2.0027263	2.0780737
SBM	7	2.0610200	2.0080287	2.1140113
SBM	8	2.0454600	1.9957908	2.0951292
SBM	9	2.0494000	2.0034227	2.0953773
SBM	10	2.0794000	2.0150668	2.1437332
SBM	11	2.0290000	1.9687483	2.0892517
SBM	12	2.0729400	2.0044609	2.1414191
SBM	13	2.0510000	1.9757352	2.1262648
SBM	14	2.0527800	1.9831963	2.1223637
SBM	15	2.0687200	1.9902623	2.1471777
SBM	16	2.0889400	2.0088790	2.1690010
SBM	17	2.0672600	2.0032814	2.1312386
SBM	18	2.0595200	1.9882402	2.1307998
SBM	19	2.1020200	2.0314001	2.1726399
SBM	20	2.0677400	1.9865229	2.1489571
