model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	54.4450000	54.3572783	54.5327217
Erdos-Renyi	2	54.5164600	54.4187370	54.6141830
Erdos-Renyi	3	54.5080200	54.4304303	54.5856097
Erdos-Renyi	4	54.4635400	54.3830610	54.5440190
Erdos-Renyi	5	54.5411400	54.4449726	54.6373074
Erdos-Renyi	6	54.4938400	54.4065673	54.5811127
Erdos-Renyi	7	54.4556600	54.3358187	54.5755013
Erdos-Renyi	8	54.5253200	54.4115220	54.6391180
Erdos-Renyi	9	54.4701400	54.3406155	54.5996645
Erdos-Renyi	10	54.5350000	54.4046801	54.6653199
Erdos-Renyi	11	54.5143800	54.3728824	54.6558776
Erdos-Renyi	12	54.5224000	54.3953696	54.6494304
Erdos-Renyi	13	54.4911800	54.3711941	54.6111659
Erdos-Renyi	14	54.4691200	54.3328675	54.6053725
Erdos-Renyi	15	54.5289000	54.3948124	54.6629876
Erdos-Renyi	16	54.5123200	54.3983665	54.6262735
Erdos-Renyi	17	54.4964000	54.3623910	54.6304090
Erdos-Renyi	18	54.4165200	54.2777818	54.5552582
Erdos-Renyi	19	54.3939200	54.2354872	54.5523528
Erdos-Renyi	20	54.3830400	54.2379501	54.5281299
