model	gen	abs_mean	abs95d	abs95u
GraphRNN	1	0.5910000	0.5812703	0.6007297
GraphRNN	2	0.6059000	0.5893446	0.6224554
GraphRNN	3	0.5065000	0.4957271	0.5172729
GraphRNN	4	0.4810200	0.4799420	0.4820980
GraphRNN	5	0.4664400	0.4656823	0.4671977
GraphRNN	6	0.4473800	0.4467727	0.4479873
GraphRNN	7	0.4294800	0.4289080	0.4300520
GraphRNN	8	0.4148600	0.4142661	0.4154539
GraphRNN	9	0.4049400	0.4046032	0.4052768
GraphRNN	10	0.3903200	0.3899042	0.3907358
GraphRNN	11	0.3769600	0.3766354	0.3772846
GraphRNN	12	0.3686600	0.3683870	0.3689330
GraphRNN	13	0.3662200	0.3659370	0.3665030
GraphRNN	14	0.3617400	0.3614265	0.3620535
GraphRNN	15	0.3558200	0.3555652	0.3560748
GraphRNN	16	0.3529800	0.3527540	0.3532060
