model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	21.6096000	21.5374807	21.6817193
Linear_AE	2	29.3611000	29.1092841	29.6129159
Linear_AE	3	30.1365000	29.8135774	30.4594226
Linear_AE	4	30.1302000	29.8297895	30.4306105
Linear_AE	5	30.1174000	29.8185312	30.4162688
Linear_AE	6	30.0758000	29.7511949	30.4004051
Linear_AE	7	30.0746000	29.7488760	30.4003240
Linear_AE	8	30.0746000	29.7488760	30.4003240
Linear_AE	9	30.0746000	29.7488760	30.4003240
Linear_AE	10	30.0746000	29.7488760	30.4003240
Linear_AE	11	30.0746000	29.7488760	30.4003240
Linear_AE	12	30.0746000	29.7488760	30.4003240
Linear_AE	13	30.0746000	29.7488760	30.4003240
Linear_AE	14	30.0746000	29.7488760	30.4003240
Linear_AE	15	30.0746000	29.7488760	30.4003240
Linear_AE	16	30.0746000	29.7488760	30.4003240
Linear_AE	17	30.0746000	29.7488760	30.4003240
Linear_AE	18	30.0746000	29.7488760	30.4003240
Linear_AE	19	30.0746000	29.7488760	30.4003240
Linear_AE	20	30.0746000	29.7488760	30.4003240
