model	gen	abs_mean	abs95d	abs95u
SBM	1	9.2534200	8.7804128	9.7264272
SBM	2	10.3008400	9.5124817	11.0891983
SBM	3	10.7587600	9.9436880	11.5738320
SBM	4	11.2553200	10.3723227	12.1383173
SBM	5	12.0199600	11.0010504	13.0388696
SBM	6	12.1470600	11.1280727	13.1660473
SBM	7	12.6025600	11.5944117	13.6107083
SBM	8	12.8138600	11.6773948	13.9503252
SBM	9	13.1845400	12.0314299	14.3376501
SBM	10	13.7176600	12.5181371	14.9171829
SBM	11	13.6994000	12.4346075	14.9641925
SBM	12	13.7412400	12.4335521	15.0489279
SBM	13	14.1203600	12.8015308	15.4391892
SBM	14	14.3256800	13.0119203	15.6394397
SBM	15	14.6323400	13.2764160	15.9882640
SBM	16	14.6967400	13.3959857	15.9974943
SBM	17	14.8182600	13.4930071	16.1435129
SBM	18	14.8300200	13.4749565	16.1850835
SBM	19	14.7162600	13.3529581	16.0795619
SBM	20	14.7467600	13.3999413	16.0935787
