	model	gen	abs_mean	abs95d	abs95u
0	BTER	1	0.0563124	0.0583048	0.0546181
1	BTER	2	0.0530082	0.0537199	0.0524029
2	BTER	3	0.0520381	0.0525934	0.0515658
3	BTER	4	0.0539550	0.0551002	0.0529810
4	BTER	5	0.0517580	0.0517651	0.0517520
5	BTER	6	0.0496893	0.0495583	0.0498007
6	BTER	7	0.0524529	0.0531325	0.0518750
7	BTER	8	0.0531662	0.0536936	0.0527177
8	BTER	9	0.0472618	0.0461818	0.0481803
9	BTER	10	0.0501114	0.0501345	0.0500917
10	BTER	11	0.0497303	0.0493837	0.0500250
11	BTER	12	0.0532708	0.0540856	0.0525778
12	BTER	13	0.0518525	0.0523976	0.0513890
13	BTER	14	0.0461026	0.0451079	0.0469484
14	BTER	15	0.0459433	0.0448272	0.0468924
15	BTER	16	0.0472090	0.0462594	0.0480166
16	BTER	17	0.0445714	0.0439916	0.0450644
17	BTER	18	0.0443480	0.0432497	0.0452819
18	BTER	19	0.0487254	0.0483125	0.0490764
19	BTER	20	0.0484936	0.0482004	0.0487429
