model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.2836761	0.2833919	0.2839603
BUGGE	2	0.2844965	0.2841678	0.2848253
BUGGE	3	0.2827684	0.2824719	0.2830648
BUGGE	4	0.2816016	0.2812416	0.2819617
BUGGE	5	0.2810848	0.2807602	0.2814094
BUGGE	6	0.2805911	0.2802396	0.2809425
BUGGE	7	0.2804572	0.2800851	0.2808294
BUGGE	8	0.2804065	0.2800269	0.2807860
BUGGE	9	0.2804606	0.2801070	0.2808143
BUGGE	10	0.2802628	0.2799262	0.2805994
BUGGE	11	0.2805984	0.2802192	0.2809776
BUGGE	12	0.2805347	0.2802372	0.2808322
BUGGE	13	0.2806830	0.2803343	0.2810316
BUGGE	14	0.2807102	0.2803999	0.2810204
BUGGE	15	0.2809565	0.2806228	0.2812902
BUGGE	16	0.2807018	0.2803353	0.2810684
BUGGE	17	0.2807722	0.2804597	0.2810847
BUGGE	18	0.2807250	0.2803126	0.2811373
BUGGE	19	0.2811576	0.2807903	0.2815249
BUGGE	20	0.2811011	0.2807384	0.2814638
