model	gen	abs_mean	abs95d	abs95u
CNRG	1	0.0351210	0.0286073	0.0416348
CNRG	2	0.0537529	0.0464733	0.0610325
CNRG	3	0.0672910	0.0566793	0.0779028
CNRG	4	0.0811301	0.0695857	0.0926745
CNRG	5	0.1025166	0.0879845	0.1170487
CNRG	6	0.1224335	0.1067908	0.1380762
CNRG	7	0.1369006	0.1199425	0.1538587
CNRG	8	0.1545331	0.1385057	0.1705605
CNRG	9	0.1664231	0.1502977	0.1825485
CNRG	10	0.1781651	0.1604862	0.1958440
CNRG	11	0.1845454	0.1651448	0.2039461
CNRG	12	0.2006336	0.1817705	0.2194966
CNRG	13	0.2227740	0.2022455	0.2433026
CNRG	14	0.2401611	0.2181724	0.2621498
CNRG	15	0.2365824	0.2124554	0.2607094
CNRG	16	0.2633873	0.2407076	0.2860669
CNRG	17	0.2732958	0.2507188	0.2958727
CNRG	18	0.2812043	0.2577219	0.3046867
CNRG	19	0.2820062	0.2579735	0.3060388
CNRG	20	0.2890190	0.2635908	0.3144472
