model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.0527652	0.0531109	0.0524394
Chung-Lu	2	0.0516950	0.0519285	0.0514750
Chung-Lu	3	0.0530218	0.0535120	0.0525600
Chung-Lu	4	0.0509636	0.0510013	0.0509281
Chung-Lu	5	0.0513957	0.0515154	0.0512829
Chung-Lu	6	0.0523962	0.0527589	0.0520545
Chung-Lu	7	0.0519549	0.0522108	0.0517139
Chung-Lu	8	0.0498723	0.0496565	0.0500756
Chung-Lu	9	0.0508517	0.0509589	0.0507508
Chung-Lu	10	0.0492397	0.0490012	0.0494644
Chung-Lu	11	0.0498767	0.0500384	0.0497245
Chung-Lu	12	0.0489765	0.0487786	0.0491629
Chung-Lu	13	0.0487860	0.0484179	0.0491327
Chung-Lu	14	0.0487928	0.0487489	0.0488342
Chung-Lu	15	0.0494445	0.0492762	0.0496030
Chung-Lu	16	0.0493573	0.0493743	0.0493413
Chung-Lu	17	0.0483111	0.0482022	0.0484136
Chung-Lu	18	0.0479948	0.0477911	0.0481867
Chung-Lu	19	0.0464683	0.0459846	0.0469240
Chung-Lu	20	0.0478357	0.0477332	0.0479323
