model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	0	0.0000000	0.0000000	0.0000000
Erdos-Renyi	1	1.1981948	1.1979994	1.1983903
Erdos-Renyi	2	2.1981094	2.1978541	2.1983647
Erdos-Renyi	3	3.1979764	3.1976633	3.1982894
Erdos-Renyi	4	4.1979961	4.1976753	4.1983169
Erdos-Renyi	5	5.1979798	5.1976328	5.1983268
Erdos-Renyi	6	6.1981788	6.1978055	6.1985521
Erdos-Renyi	7	7.1981308	7.1977303	7.1985314
Erdos-Renyi	8	8.1981661	8.1977231	8.1986090
Erdos-Renyi	9	9.1982017	9.1977395	9.1986639
Erdos-Renyi	10	10.1982547	10.1977852	10.1987241
Erdos-Renyi	11	11.1982894	11.1977460	11.1988329
Erdos-Renyi	12	12.1982444	12.1977387	12.1987501
Erdos-Renyi	13	13.1982304	13.1976883	13.1987726
Erdos-Renyi	14	14.1982451	14.1976800	14.1988102
Erdos-Renyi	15	15.1981886	15.1976076	15.1987695
Erdos-Renyi	16	16.1982863	16.1977405	16.1988321
Erdos-Renyi	17	17.1983595	17.1977888	17.1989302
Erdos-Renyi	18	18.1983141	18.1976982	18.1989301
Erdos-Renyi	19	19.1982260	19.1976147	19.1988374
Erdos-Renyi	20	20.1983298	20.1977057	20.1989538
