model	gen	abs_mean	abs95d	abs95u
SBM	0	0.0000000	0.0000000	0.0000000
SBM	1	1.0498577	1.0257604	1.0739549
SBM	2	2.0354239	2.0214325	2.0494153
SBM	3	3.0302954	3.0272536	3.0333372
SBM	4	4.0314475	4.0282081	4.0346870
SBM	5	5.0328780	5.0298330	5.0359230
SBM	6	6.0321678	6.0289950	6.0353406
SBM	7	7.0311817	7.0281264	7.0342369
SBM	8	8.0332832	8.0297841	8.0367823
SBM	9	9.0358894	9.0325698	9.0392090
SBM	10	10.0364736	10.0329153	10.0400320
SBM	11	11.0366477	11.0324200	11.0408755
SBM	12	12.0377312	12.0340788	12.0413835
SBM	13	13.0364298	13.0327315	13.0401281
SBM	14	14.0363573	14.0329964	14.0397181
SBM	15	15.0365392	15.0324139	15.0406645
SBM	16	16.0393180	16.0356512	16.0429847
SBM	17	17.0397325	17.0360502	17.0434148
SBM	18	18.0371123	18.0335605	18.0406641
SBM	19	19.0400101	19.0364331	19.0435872
SBM	20	20.0362736	20.0325203	20.0400269
