model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.4516079	0.4484088	0.4548070
BUGGE	2	0.5408193	0.5343229	0.5473158
BUGGE	3	0.5536709	0.5487925	0.5585494
BUGGE	4	0.5582306	0.5533811	0.5630801
BUGGE	5	0.5611467	0.5572500	0.5650434
BUGGE	6	0.5609581	0.5561558	0.5657604
BUGGE	7	0.5647663	0.5606355	0.5688972
BUGGE	8	0.5654883	0.5609988	0.5699779
BUGGE	9	0.5639202	0.5598920	0.5679484
BUGGE	10	0.5655536	0.5617459	0.5693612
BUGGE	11	0.5642799	0.5603256	0.5682343
BUGGE	12	0.5659465	0.5620564	0.5698365
BUGGE	13	0.5670751	0.5630578	0.5710924
BUGGE	14	0.5672122	0.5632208	0.5712035
BUGGE	15	0.5710360	0.5666250	0.5754471
BUGGE	16	0.5667040	0.5627365	0.5706716
BUGGE	17	0.5711222	0.5669333	0.5753111
BUGGE	18	0.5687795	0.5644118	0.5731472
BUGGE	19	0.5717830	0.5672222	0.5763437
BUGGE	20	0.5703278	0.5661971	0.5744586
