model	gen	abs_mean	abs95d	abs95u
Chung-Lu	0	0.0000000	0.0000000	0.0000000
Chung-Lu	1	1.7953462	1.7942283	1.7964641
Chung-Lu	2	2.7959398	2.7947451	2.7971345
Chung-Lu	3	3.7953517	3.7943084	3.7963951
Chung-Lu	4	4.7928636	4.7917921	4.7939350
Chung-Lu	5	5.7931872	5.7922272	5.7941472
Chung-Lu	6	6.7924894	6.7912965	6.7936823
Chung-Lu	7	7.7916097	7.7905675	7.7926518
Chung-Lu	8	8.7916254	8.7906457	8.7926051
Chung-Lu	9	9.7906726	9.7893191	9.7920261
Chung-Lu	10	10.7892721	10.7881534	10.7903908
Chung-Lu	11	11.7887249	11.7874304	11.7900194
Chung-Lu	12	12.7879461	12.7865822	12.7893101
Chung-Lu	13	13.7875959	13.7862212	13.7889706
Chung-Lu	14	14.7866936	14.7856474	14.7877398
Chung-Lu	15	15.7845257	15.7833756	15.7856757
Chung-Lu	16	16.7840915	16.7825341	16.7856488
Chung-Lu	17	17.7837191	17.7824749	17.7849632
Chung-Lu	18	18.7819875	18.7808088	18.7831662
Chung-Lu	19	19.7812632	19.7799548	19.7825715
Chung-Lu	20	20.7811317	20.7797494	20.7825140
