	model	gen	abs_mean	abs95d	abs95u
0	Erdos-Renyi	1	0.0502866	0.0501242	0.0504428
1	Erdos-Renyi	2	0.0496406	0.0503557	0.0489529
2	Erdos-Renyi	3	0.0496083	0.0502892	0.0489536
3	Erdos-Renyi	4	0.0496988	0.0502888	0.0491315
4	Erdos-Renyi	5	0.0495368	0.0500130	0.0490789
5	Erdos-Renyi	6	0.0494665	0.0499125	0.0490376
6	Erdos-Renyi	7	0.0501704	0.0498596	0.0504693
7	Erdos-Renyi	8	0.0501336	0.0499052	0.0503532
8	Erdos-Renyi	9	0.0500834	0.0500413	0.0501238
9	Erdos-Renyi	10	0.0496545	0.0500088	0.0493138
10	Erdos-Renyi	11	0.0497227	0.0500395	0.0494181
11	Erdos-Renyi	12	0.0505575	0.0501164	0.0509817
12	Erdos-Renyi	13	0.0505899	0.0498410	0.0513101
13	Erdos-Renyi	14	0.0498305	0.0498170	0.0498435
14	Erdos-Renyi	15	0.0505784	0.0500604	0.0510764
15	Erdos-Renyi	16	0.0501225	0.0497347	0.0504955
16	Erdos-Renyi	17	0.0508586	0.0502412	0.0514522
17	Erdos-Renyi	18	0.0495074	0.0496873	0.0493345
18	Erdos-Renyi	19	0.0502409	0.0497916	0.0506729
19	Erdos-Renyi	20	0.0497121	0.0498725	0.0495578
