model	gen	abs_mean	abs95d	abs95u
GCN_AE	1	0.0502106	0.0497053	0.0507152
GCN_AE	2	0.0499835	0.0500006	0.0499663
GCN_AE	3	0.0499829	0.0499955	0.0499703
GCN_AE	4	0.0499426	0.0498623	0.0500228
GCN_AE	5	0.0499766	0.0499746	0.0499785
GCN_AE	6	0.0499936	0.0500308	0.0499565
GCN_AE	7	0.0499936	0.0500308	0.0499565
GCN_AE	8	0.0499936	0.0500308	0.0499565
GCN_AE	9	0.0499936	0.0500308	0.0499565
GCN_AE	10	0.0499936	0.0500308	0.0499565
GCN_AE	11	0.0499936	0.0500308	0.0499565
GCN_AE	12	0.0499936	0.0500308	0.0499565
GCN_AE	13	0.0499936	0.0500308	0.0499565
GCN_AE	14	0.0499936	0.0500308	0.0499565
GCN_AE	15	0.0499936	0.0500308	0.0499565
GCN_AE	16	0.0499936	0.0500308	0.0499565
GCN_AE	17	0.0499936	0.0500308	0.0499565
GCN_AE	18	0.0499936	0.0500308	0.0499565
GCN_AE	19	0.0499936	0.0500308	0.0499565
GCN_AE	20	0.0499936	0.0500308	0.0499565
