model	gen	abs_mean	abs95d	abs95u
Kronecker	0	0.0000000	-0.0000000	0.0000000
Kronecker	1	1.3462003	1.3313517	1.3610489
Kronecker	2	1.6778868	1.6671108	1.6886628
Kronecker	3	1.8293419	1.8220454	1.8366384
Kronecker	4	1.9177262	1.9148751	1.9205774
Kronecker	5	1.9588722	1.9574995	1.9602449
Kronecker	6	1.9775869	1.9769510	1.9782227
Kronecker	7	1.9854436	1.9849397	1.9859475
Kronecker	8	1.9897676	1.9893283	1.9902069
Kronecker	9	1.9921068	1.9918669	1.9923466
Kronecker	10	1.9926117	1.9923140	1.9929093
Kronecker	11	1.9924171	1.9922000	1.9926342
Kronecker	12	1.9925002	1.9922654	1.9927349
Kronecker	13	1.9926093	1.9924018	1.9928167
Kronecker	14	1.9925615	1.9923553	1.9927676
Kronecker	15	1.9925066	1.9923474	1.9926659
Kronecker	16	1.9925787	1.9924038	1.9927535
Kronecker	17	1.9926187	1.9924275	1.9928100
Kronecker	18	1.9926543	1.9924037	1.9929049
Kronecker	19	1.9926189	1.9924451	1.9927928
Kronecker	20	1.9924462	1.9923161	1.9925763
