model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	0.0502846	0.0503179	0.0502515
Linear_AE	2	0.0504139	0.0504474	0.0503805
Linear_AE	3	0.0504560	0.0502798	0.0506318
Linear_AE	4	0.0499913	0.0497731	0.0502090
Linear_AE	5	0.0497801	0.0497292	0.0498308
Linear_AE	6	0.0498368	0.0498180	0.0498556
Linear_AE	7	0.0498818	0.0498817	0.0498819
Linear_AE	8	0.0499076	0.0499288	0.0498865
Linear_AE	9	0.0499300	0.0499530	0.0499070
Linear_AE	10	0.0499331	0.0499605	0.0499058
Linear_AE	11	0.0499453	0.0499773	0.0499133
Linear_AE	12	0.0499567	0.0499889	0.0499245
Linear_AE	13	0.0499532	0.0499880	0.0499186
Linear_AE	14	0.0499570	0.0499896	0.0499245
Linear_AE	15	0.0499639	0.0500012	0.0499267
Linear_AE	16	0.0499586	0.0499926	0.0499248
Linear_AE	17	0.0499678	0.0500060	0.0499296
Linear_AE	18	0.0499580	0.0499862	0.0499298
Linear_AE	19	0.0499611	0.0499802	0.0499421
Linear_AE	20	0.0499630	0.0500006	0.0499256
