model	gen	abs_mean	abs95d	abs95u
SBM	0	0.0000000	0.0000000	0.0000000
SBM	1	0.2697581	0.2665214	0.2729948
SBM	2	0.2936166	0.2876142	0.2996190
SBM	3	0.3121754	0.3008412	0.3235096
SBM	4	0.3331104	0.3223718	0.3438490
SBM	5	0.3491246	0.3361238	0.3621253
SBM	6	0.3610860	0.3438346	0.3783373
SBM	7	0.3643606	0.3503713	0.3783499
SBM	8	0.3663476	0.3505897	0.3821056
SBM	9	0.3689428	0.3533939	0.3844917
SBM	10	0.3644680	0.3465467	0.3823894
SBM	11	0.3637970	0.3458557	0.3817384
SBM	12	0.3667908	0.3489753	0.3846063
SBM	13	0.3650733	0.3494951	0.3806515
SBM	14	0.3735763	0.3561264	0.3910261
SBM	15	0.3813802	0.3618430	0.4009175
SBM	16	0.3698369	0.3502636	0.3894101
SBM	17	0.3686665	0.3524630	0.3848701
SBM	18	0.3768381	0.3591646	0.3945116
SBM	19	0.3944085	0.3761211	0.4126958
SBM	20	0.3844000	0.3656743	0.4031257
