model	gen	abs_mean	abs95d	abs95u
BTER	0	0.0000000	0.0000000	0.0000000
BTER	1	1.6746219	1.6265884	1.7226555
BTER	2	2.7648069	2.6829931	2.8466206
BTER	3	3.8046738	3.7126880	3.8966596
BTER	4	4.8187636	4.7328584	4.9046688
BTER	5	5.8764942	5.7675832	5.9854053
BTER	6	6.8139195	6.7061046	6.9217344
BTER	7	7.8496717	7.7394974	7.9598461
BTER	8	8.8467401	8.7365764	8.9569037
BTER	9	9.8571295	9.7395337	9.9747252
BTER	10	10.8349454	10.7167316	10.9531591
BTER	11	11.8563159	11.7457797	11.9668522
BTER	12	12.8576616	12.7503337	12.9649895
BTER	13	13.9401972	13.8196086	14.0607857
BTER	14	14.8830059	14.7605349	15.0054770
BTER	15	15.8818339	15.7538554	16.0098123
BTER	16	16.9573408	16.8281699	17.0865118
BTER	17	17.9538525	17.8234524	18.0842525
BTER	18	18.9519110	18.8181923	19.0856297
BTER	19	19.9345536	19.8098666	20.0592406
BTER	20	20.9484077	20.8155285	21.0812868
