model	gen	abs_mean	abs95d	abs95u
CNRG	1	0.0238279	0.0223448	0.0252656
CNRG	2	0.0357984	0.0348253	0.0367418
CNRG	3	0.0435507	0.0429959	0.0440886
CNRG	4	0.0484222	0.0482570	0.0485822
CNRG	5	0.0504903	0.0503025	0.0506724
CNRG	6	0.0517613	0.0517298	0.0517919
CNRG	7	0.0527091	0.0526425	0.0527737
CNRG	8	0.0532255	0.0532689	0.0531835
CNRG	9	0.0537488	0.0539391	0.0535644
CNRG	10	0.0541223	0.0543281	0.0539229
CNRG	11	0.0543433	0.0547203	0.0539778
CNRG	12	0.0543861	0.0547243	0.0540583
CNRG	13	0.0542081	0.0545455	0.0538811
CNRG	14	0.0538003	0.0541463	0.0534649
CNRG	15	0.0535721	0.0538952	0.0532589
CNRG	16	0.0528686	0.0531074	0.0526372
CNRG	17	0.0526428	0.0529097	0.0523840
CNRG	18	0.0525169	0.0527720	0.0522696
CNRG	19	0.0521860	0.0524441	0.0519359
CNRG	20	0.0518191	0.0521016	0.0515452
